DATE,YEAR,STATUS,ROWS_ADDED,URL,MESSAGE
2024-01-08,2024,RECOVERED,31,https://archives.nseindia.com/content/historical/EQUITIES/2024/JAN/cm08JAN2024bhav.csv.zip,
2024-01-16,2024,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2024/JAN/cm16JAN2024bhav.csv.zip,
2024-01-22,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-01-26,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-02-05,2024,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2024/FEB/cm05FEB2024bhav.csv.zip,
2024-02-06,2024,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2024/FEB/cm06FEB2024bhav.csv.zip,
2024-02-19,2024,RECOVERED,31,https://archives.nseindia.com/content/historical/EQUITIES/2024/FEB/cm19FEB2024bhav.csv.zip,
2024-02-21,2024,RECOVERED,30,https://archives.nseindia.com/content/historical/EQUITIES/2024/FEB/cm21FEB2024bhav.csv.zip,
2024-03-07,2024,RECOVERED,32,https://archives.nseindia.com/content/historical/EQUITIES/2024/MAR/cm07MAR2024bhav.csv.zip,
2024-03-08,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-03-13,2024,RECOVERED,30,https://archives.nseindia.com/content/historical/EQUITIES/2024/MAR/cm13MAR2024bhav.csv.zip,
2024-03-25,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-03-27,2024,RECOVERED,30,https://archives.nseindia.com/content/historical/EQUITIES/2024/MAR/cm27MAR2024bhav.csv.zip,
2024-03-29,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-04-11,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-04-17,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-04-18,2024,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2024/APR/cm18APR2024bhav.csv.zip,
2024-04-19,2024,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2024/APR/cm19APR2024bhav.csv.zip,
2024-04-23,2024,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2024/APR/cm23APR2024bhav.csv.zip,
2024-05-01,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-05-02,2024,RECOVERED,30,https://archives.nseindia.com/content/historical/EQUITIES/2024/MAY/cm02MAY2024bhav.csv.zip,
2024-05-06,2024,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2024/MAY/cm06MAY2024bhav.csv.zip,
2024-05-15,2024,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2024/MAY/cm15MAY2024bhav.csv.zip,
2024-05-20,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-05-27,2024,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2024/MAY/cm27MAY2024bhav.csv.zip,
2024-06-10,2024,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm10JUN2024bhav.csv.zip,
2024-06-13,2024,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2024/JUN/cm13JUN2024bhav.csv.zip,
2024-06-17,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-07-17,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-08-01,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20240801_F_0000.csv.zip,
2024-08-08,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20240808_F_0000.csv.zip,
2024-08-09,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20240809_F_0000.csv.zip,
2024-08-15,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-09-17,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20240917_F_0000.csv.zip,
2024-09-24,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20240924_F_0000.csv.zip,
2024-10-02,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-10-08,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241008_F_0000.csv.zip,
2024-10-09,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241009_F_0000.csv.zip,
2024-10-15,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241015_F_0000.csv.zip,
2024-10-21,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241021_F_0000.csv.zip,
2024-11-08,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241108_F_0000.csv.zip,
2024-11-13,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241113_F_0000.csv.zip,
2024-11-15,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-11-19,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241119_F_0000.csv.zip,
2024-11-20,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-11-29,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241129_F_0000.csv.zip,
2024-12-13,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241213_F_0000.csv.zip,
2024-12-16,2024,RECOVERED,28,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241216_F_0000.csv.zip,
2024-12-23,2024,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241223_F_0000.csv.zip,
2024-12-25,2024,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2024-12-27,2024,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20241227_F_0000.csv.zip,
