FORMATION_DATE,BLOCK_TYPE,SELECTED_PAIR_NUMBER,PAIR_ID,COMPANY_A,COMPANY_B,SSD,SSD_RANK,FORMATION_START,FORMATION_END,FORMATION_OBSERVATIONS,NORMALIZATION_ANCHOR_DATE,ANCHOR_TRI_A,ANCHOR_TRI_B,FORMATION_SEGMENT_A,FORMATION_SEGMENT_B,FORMATION_SPREAD_MEAN,FORMATION_SPREAD_STD_DDOF1,ENTRY_Z,UPPER_ENTRY_SPREAD,LOWER_ENTRY_SPREAD,EXIT_SPREAD,TRADING_START,TRADING_END,STRUCTURAL_BREAK_DATE_IN_TRADING,EFFECTIVE_LAST_COMMON_TRADING_DATE,FORCED_EXIT_REASON_IF_STILL_OPEN,MAX_FORMATION_NORMALIZATION_ERROR_A,MAX_FORMATION_NORMALIZATION_ERROR_B,PAIR_GROSS_CAPITAL_WEIGHT,ABS_WEIGHT_PER_LEG
2017-01-31,DEVELOPMENT,1,LUPIN__SUNPHARMA,LUPIN,SUNPHARMA,1.3732571468807633,1,2016-02-01,2017-01-31,248,2016-02-01,92.2666305378675,106.95849426767212,LUPIN_SEG1,SUNPHARMA_SEG1,0.04500914066603392,0.05937778270467218,2.0,0.16376470607537827,-0.07374642474331045,0.04500914066603392,2017-02-01,2017-07-31,,2017-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2017-01-31,DEVELOPMENT,2,GLENMARK__ZYDUS,GLENMARK,ZYDUS,1.5161066328346036,2,2016-02-01,2017-01-31,248,2016-02-01,86.17050067659001,95.79200480913735,GLENMARK_SEG1,ZYDUS_SEG1,-0.054954052886156346,0.05573068360693611,2.0,0.05650731432771587,-0.16641542010002858,-0.054954052886156346,2017-02-01,2017-07-31,,2017-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2017-01-31,DEVELOPMENT,3,AUROPHARMA__CIPLA,AUROPHARMA,CIPLA,1.8774791024270792,3,2016-02-01,2017-01-31,248,2016-02-01,90.87814840027232,91.47020675974672,AUROPHARMA_SEG1,CIPLA_SEG1,0.0313262038373731,0.08133772754564782,2.0,0.19400165892866872,-0.13134925125392255,0.0313262038373731,2017-02-01,2017-07-31,,2017-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2017-01-31,DEVELOPMENT,4,DIVISLAB__DRREDDY,DIVISLAB,DRREDDY,5.345981390130017,14,2016-02-01,2017-01-31,248,2016-02-01,98.23225806451616,98.13099144309338,DIVISLAB_SEG1,DRREDDY_SEG1,-0.052643054163278864,0.1373358598432392,2.0,0.22202866552319955,-0.32731477384975727,-0.052643054163278864,2017-02-01,2017-07-31,,2017-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2017-07-31,DEVELOPMENT,1,LUPIN__SUNPHARMA,LUPIN,SUNPHARMA,0.6705089798643824,1,2016-08-01,2017-07-31,248,2016-08-01,93.85499867356936,102.46459444546612,LUPIN_SEG1,SUNPHARMA_SEG1,0.01355937657855317,0.050299206775364494,2.0,0.11415779012928216,-0.08703903697217581,0.01355937657855317,2017-08-01,2018-01-31,,2018-01-31,WINDOW_END,1.1102230246251565e-16,1.1102230246251565e-16,0.25,0.125
2017-07-31,DEVELOPMENT,2,AUROPHARMA__DRREDDY,AUROPHARMA,DRREDDY,2.548817082103208,3,2016-08-01,2017-07-31,248,2016-08-01,89.5516967772576,96.4166508798019,AUROPHARMA_SEG1,DRREDDY_SEG1,-0.07762159733958342,0.06534211472963579,2.0,0.05306263211968816,-0.208305826798855,-0.07762159733958342,2017-08-01,2018-01-31,,2018-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2017-07-31,DEVELOPMENT,3,CIPLA__GLENMARK,CIPLA,GLENMARK,4.932889672885239,7,2016-08-01,2017-07-31,248,2016-08-01,79.96490424963761,92.72530446549396,CIPLA_SEG1,GLENMARK_SEG1,0.10053530399325537,0.09911077371769353,2.0,0.29875685142864244,-0.09768624344213168,0.10053530399325537,2017-08-01,2018-01-31,,2018-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2017-07-31,DEVELOPMENT,4,PEL__ZYDUS,PEL,ZYDUS,7.702281555715599,10,2016-08-01,2017-07-31,248,2016-08-01,163.21858720852384,107.01656703291798,PEL_SEG1,ZYDUS_SEG1,0.07244727171427351,0.1609766117666847,2.0,0.3944004952476429,-0.2495059518190959,0.07244727171427351,2017-08-01,2018-01-31,,2018-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2018-01-31,DEVELOPMENT,1,GLENMARK__LUPIN,GLENMARK,LUPIN,0.7949839587910638,1,2017-02-01,2018-01-31,249,2017-02-01,97.44887522828274,80.23409026282872,GLENMARK_SEG1,LUPIN_SEG1,0.015640267193658065,0.054405662925597974,2.0,0.12445159304485401,-0.09317105865753789,0.015640267193658065,2018-02-01,2018-07-31,,2018-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2018-01-31,DEVELOPMENT,2,AUROPHARMA__CIPLA,AUROPHARMA,CIPLA,1.317380772604194,2,2017-02-01,2018-01-31,249,2017-02-01,76.06654110928147,87.61077160612669,AUROPHARMA_SEG1,CIPLA_SEG1,0.009862910049737321,0.07221045633269724,2.0,0.1542838227151318,-0.13455800261565715,0.009862910049737321,2018-02-01,2018-07-31,,2018-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2018-01-31,DEVELOPMENT,3,DRREDDY__SUNPHARMA,DRREDDY,SUNPHARMA,2.9477016694412708,3,2017-02-01,2018-01-31,249,2017-02-01,97.08627834942509,76.79776195688525,DRREDDY_SEG1,SUNPHARMA_SEG1,-0.08309240686120763,0.07038256628729916,2.0,0.0576727257133907,-0.22385753943580594,-0.08309240686120763,2018-02-01,2018-07-31,,2018-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2018-01-31,DEVELOPMENT,4,PEL__ZYDUS,PEL,ZYDUS,15.964810301664055,12,2017-02-01,2018-01-31,249,2017-02-01,172.86031918067746,106.8193434191629,PEL_SEG1,ZYDUS_SEG1,0.1760420135715764,0.18236908093185622,2.0,0.5407801754352888,-0.18869614829213605,0.1760420135715764,2018-02-01,2018-07-31,,2018-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2018-07-31,DEVELOPMENT,1,DRREDDY__PEL,DRREDDY,PEL,0.7974812062837169,1,2017-08-01,2018-07-31,250,2017-08-01,79.24183349708893,300.4656952525233,DRREDDY_SEG1,PEL_SEG1,0.018684928490137205,0.05340605865308499,2.0,0.1254970457963072,-0.08812718881603276,0.018684928490137205,2018-08-01,2019-01-31,,2019-01-31,WINDOW_END,1.1102230246251565e-16,1.1102230246251565e-16,0.25,0.125
2018-07-31,DEVELOPMENT,2,CIPLA__SUNPHARMA,CIPLA,SUNPHARMA,1.07739619148576,2,2017-08-01,2018-07-31,250,2017-08-01,86.42478650780356,65.53376282085424,CIPLA_SEG1,SUNPHARMA_SEG1,0.05126014429511933,0.0410942492579544,2.0,0.13344864281102814,-0.030928354220789468,0.05126014429511933,2018-08-01,2019-01-31,,2019-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2018-07-31,DEVELOPMENT,3,AUROPHARMA__LUPIN,AUROPHARMA,LUPIN,1.0828142192305363,3,2017-08-01,2018-07-31,250,2017-08-01,83.81239525697683,55.76750485367681,AUROPHARMA_SEG1,LUPIN_SEG1,0.0323514362208394,0.05742676016023464,2.0,0.14720495654130866,-0.08250208409962988,0.0323514362208394,2018-08-01,2019-01-31,,2019-01-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2018-07-31,DEVELOPMENT,4,GLENMARK__ZYDUS,GLENMARK,ZYDUS,1.3169101058135904,6,2017-08-01,2018-07-31,250,2017-08-01,75.94609724778807,165.2303083098806,GLENMARK_SEG1,ZYDUS_SEG1,0.039766603525688206,0.06083635356384259,2.0,0.16143931065337339,-0.08190610360199699,0.039766603525688206,2018-08-01,2019-01-31,,2019-01-31,WINDOW_END,1.1102230246251565e-16,2.220446049250313e-16,0.25,0.125
2019-01-31,DEVELOPMENT,1,AUROPHARMA__DRREDDY,AUROPHARMA,DRREDDY,0.9615474712443332,1,2018-02-01,2019-01-31,247,2018-02-01,69.89520837247483,70.325477409489,AUROPHARMA_SEG1,DRREDDY_SEG1,0.012550796962828879,0.06124187062882623,2.0,0.13503453822048134,-0.10993294429482359,0.012550796962828879,2019-02-01,2019-07-31,,2019-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
2019-01-31,DEVELOPMENT,2,CIPLA__SUNPHARMA,CIPLA,SUNPHARMA,1.1507769166732629,2,2018-02-01,2019-01-31,247,2018-02-01,90.20476650263332,68.50762397253422,CIPLA_SEG1,SUNPHARMA_SEG1,0.03414736746353392,0.059221383217060906,2.0,0.15259013389765574,-0.0842953989705879,0.03414736746353392,2019-02-01,2019-07-31,,2019-07-31,WINDOW_END,2.220446049250313e-16,2.220446049250313e-16,0.25,0.125
