DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2023-01-02,ABBOTINDIA,Abbott India,EQ,INE358A01014,21367.2,21620.65,21287.65,21436.9,21339.55,21367.2,10873,233505679.05,2680,LEGACY
2023-01-02,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,1218.0,1224.0,1200.05,1207.75,1210.0,1211.95,71150,85949661.85,13058,LEGACY
2023-01-02,ALKEM,Alkem Laboratories,EQ,INE540L01014,3005.0,3019.2,2973.0,3001.15,3000.0,3004.7,42669,127824651.7,4898,LEGACY
2023-01-02,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,575.8,575.8,566.0,568.9,569.95,572.9,150760,85738831.7,3380,LEGACY
2023-01-02,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,439.9,439.9,429.2,434.8,434.6,438.3,1245057,539223128.1,24289,LEGACY
2023-01-02,BIOCON,Biocon,EQ,INE376G01013,261.85,264.2,258.4,263.4,263.5,261.85,1918322,500295709.1,26742,LEGACY
2023-01-02,CIPLA,Cipla,EQ,INE059A01026,1080.25,1082.0,1063.85,1070.95,1074.5,1075.95,895053,956654580.05,33508,LEGACY
2023-01-02,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,3420.0,3420.0,3365.0,3372.65,3370.0,3413.2,283161,957606255.65,27318,LEGACY
2023-01-02,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,4258.75,4267.55,4209.0,4235.05,4230.35,4237.55,132726,561141457.65,18583,LEGACY
2023-01-02,GLAND,Gland Pharma,EQ,INE068V01023,1585.0,1606.0,1566.0,1575.9,1579.0,1576.55,174154,276006378.95,11771,LEGACY
2023-01-02,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1300.0,1329.85,1300.0,1316.3,1319.0,1318.75,31461,41376926.1,5535,LEGACY
2023-01-02,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,423.3,429.7,418.0,427.7,426.95,424.15,461607,195852159.1,9411,LEGACY
2023-01-02,GRANULES,Granules India,EQ,INE101D01020,319.35,322.65,313.9,320.25,320.5,318.8,618759,196970172.15,11013,LEGACY
2023-01-02,IPCALAB,IPCA Laboratories,EQ,INE571A01038,841.0,844.75,830.0,836.7,836.0,843.1,311461,260474330.3,11570,LEGACY
2023-01-02,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,1954.0,1978.4,1934.95,1971.45,1970.05,1944.5,19983,39121940.75,3447,LEGACY
2023-01-02,LAURUSLABS,Laurus Labs,EQ,INE947Q01028,376.95,377.15,370.5,373.4,373.6,375.25,1165654,434464841.0,17691,LEGACY
2023-01-02,LUPIN,Lupin,EQ,INE326A01037,734.9,736.1,722.55,732.85,732.0,733.7,518472,378401562.35,15686,LEGACY
2023-01-02,NATCOPHARM,Natco Pharma,EQ,INE987B01026,564.45,564.45,553.25,555.1,553.25,561.65,105177,58514161.05,6185,LEGACY
2023-01-02,PEL,Piramal Enterprises,EQ,INE140A01024,834.7,841.0,824.4,837.65,837.4,828.4,424749,354853252.0,14557,LEGACY
2023-01-02,PFIZER,Pfizer,EQ,INE182A01018,4436.0,4438.95,4401.0,4406.95,4401.0,4431.7,3311,14617623.5,1253,LEGACY
2023-01-02,PPLPHARMA,Piramal Pharma,EQ,INE0DK501011,115.45,123.25,114.65,122.5,122.4,114.65,4005568,481689651.05,21128,LEGACY
2023-01-02,SANOFI,Sanofi India,EQ,INE058A01010,5820.0,5864.95,5820.0,5835.65,5842.0,5853.05,3288,19197738.7,1352,LEGACY
2023-01-02,STAR,Strides Pharma Science,EQ,INE939A01011,350.4,360.5,346.2,355.15,356.95,349.85,300049,106259326.35,8405,LEGACY
2023-01-02,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,1001.4,1001.4,987.2,997.0,997.0,1001.4,1616012,1610403828.4,58069,LEGACY
2023-01-02,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,1556.65,1556.65,1532.0,1548.8,1552.0,1550.6,68757,106231198.05,5618,LEGACY
2023-01-02,WOCKPHARMA,Wockhardt,EQ,INE049B01025,223.85,226.3,221.7,223.9,224.0,223.05,532908,119335259.15,8026,LEGACY
2023-01-02,ZYDUSLIFE,Zydus Lifesciences,EQ,INE010B01027,419.85,421.45,414.15,420.1,420.3,419.95,562491,235417354.65,14694,LEGACY
2023-01-03,ABBOTINDIA,Abbott India,EQ,INE358A01014,21440.0,21749.0,21365.1,21680.85,21739.95,21436.9,37179,798554413.4,3142,LEGACY
2023-01-03,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,1213.8,1217.4,1194.6,1200.45,1200.0,1207.75,102012,122584784.0,13833,LEGACY
2023-01-03,ALKEM,Alkem Laboratories,EQ,INE540L01014,2999.6,3059.75,2989.0,3028.8,3027.9,3001.15,39755,120612328.8,8576,LEGACY
2023-01-03,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,570.0,575.2,569.2,573.6,573.95,568.9,56980,32687138.05,3046,LEGACY
2023-01-03,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,434.8,447.3,433.5,441.3,441.75,434.8,1449571,640196605.65,27367,LEGACY
2023-01-03,BIOCON,Biocon,EQ,INE376G01013,263.95,265.95,262.7,263.4,263.65,263.4,1276723,337464501.65,17057,LEGACY
2023-01-03,CIPLA,Cipla,EQ,INE059A01026,1070.05,1080.95,1066.4,1075.9,1076.9,1070.95,952230,1022262951.0,54247,LEGACY
2023-01-03,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,3372.65,3402.0,3357.5,3393.0,3393.3,3372.65,244677,829369992.6,25478,LEGACY
2023-01-03,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,4238.8,4258.1,4216.1,4238.35,4231.4,4235.05,162179,687107079.75,20525,LEGACY
2023-01-03,GLAND,Gland Pharma,EQ,INE068V01023,1586.8,1589.0,1571.0,1575.75,1577.0,1575.9,95947,151599418.35,7836,LEGACY
2023-01-03,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1318.0,1324.65,1298.8,1303.85,1305.0,1316.3,50982,66594149.85,7790,LEGACY
2023-01-03,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,427.0,436.0,426.0,434.7,433.45,427.7,736108,318505254.7,21698,LEGACY
2023-01-03,GRANULES,Granules India,EQ,INE101D01020,322.0,329.7,322.0,326.45,326.8,320.25,1639299,534603938.1,20629,LEGACY
2023-01-03,IPCALAB,IPCA Laboratories,EQ,INE571A01038,832.0,857.6,832.0,849.95,852.85,836.7,239476,203357416.15,13013,LEGACY
