DATE,YEAR,STATUS,ROWS_ADDED,URL,MESSAGE
2023-01-25,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/JAN/cm25JAN2023bhav.csv.zip,
2023-01-26,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-01-30,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/JAN/cm30JAN2023bhav.csv.zip,
2023-02-01,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/FEB/cm01FEB2023bhav.csv.zip,
2023-02-07,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/FEB/cm07FEB2023bhav.csv.zip,
2023-02-14,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/FEB/cm14FEB2023bhav.csv.zip,
2023-02-21,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/FEB/cm21FEB2023bhav.csv.zip,
2023-03-03,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/MAR/cm03MAR2023bhav.csv.zip,
2023-03-07,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-03-09,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/MAR/cm09MAR2023bhav.csv.zip,
2023-03-14,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/MAR/cm14MAR2023bhav.csv.zip,
2023-03-23,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/MAR/cm23MAR2023bhav.csv.zip,
2023-03-30,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-04-04,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-04-06,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/APR/cm06APR2023bhav.csv.zip,
2023-04-07,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-04-14,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-04-21,2023,RECOVERED,27,https://archives.nseindia.com/content/historical/EQUITIES/2023/APR/cm21APR2023bhav.csv.zip,
2023-05-01,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-05-30,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/MAY/cm30MAY2023bhav.csv.zip,
2023-06-13,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm13JUN2023bhav.csv.zip,
2023-06-15,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm15JUN2023bhav.csv.zip,
2023-06-22,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/JUN/cm22JUN2023bhav.csv.zip,
2023-06-29,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-07-03,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/JUL/cm03JUL2023bhav.csv.zip,
2023-07-27,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/JUL/cm27JUL2023bhav.csv.zip,
2023-08-11,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/AUG/cm11AUG2023bhav.csv.zip,
2023-08-15,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-08-23,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/AUG/cm23AUG2023bhav.csv.zip,
2023-09-01,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/SEP/cm01SEP2023bhav.csv.zip,
2023-09-04,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/SEP/cm04SEP2023bhav.csv.zip,
2023-09-13,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/SEP/cm13SEP2023bhav.csv.zip,
2023-09-14,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/SEP/cm14SEP2023bhav.csv.zip,
2023-09-19,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-09-27,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/SEP/cm27SEP2023bhav.csv.zip,
2023-10-02,2023,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2023-10-05,2023,RECOVERED,28,https://archives.nseindia.com/content/historical/EQUITIES/2023/OCT/cm05OCT2023bhav.csv.zip,
