DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2019-01-01,ABBOTINDIA,Abbott India,EQ,INE358A01014,7550.0,7598.0,7455.15,7580.05,7598.0,7516.65,968,7311468.65,365,LEGACY
2019-01-01,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,1182.0,1186.15,1171.45,1181.7,1184.0,1185.7,114936,135678763.65,4542,LEGACY
2019-01-01,ALKEM,Alkem Laboratories,EQ,INE540L01014,1957.0,1957.0,1915.0,1940.3,1936.0,1949.2,25417,49236369.5,3019,LEGACY
2019-01-01,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,603.0,605.65,580.0,586.85,585.5,599.7,24980,14852617.15,1348,LEGACY
2019-01-01,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,734.0,737.5,729.6,733.15,731.1,732.95,1340165,983368777.3,28641,LEGACY
2019-01-01,BIOCON,Biocon,EQ,INE376G01013,631.45,632.1,623.15,625.8,626.4,629.05,750924,470641544.75,12774,LEGACY
2019-01-01,CADILAHC,Cadila Healthcare,EQ,INE010B01027,348.65,352.9,348.35,350.05,349.75,348.45,692062,242603500.55,11919,LEGACY
2019-01-01,CIPLA,Cipla,EQ,INE059A01026,520.0,524.0,518.65,523.05,522.75,519.5,1361809,710897917.95,19012,LEGACY
2019-01-01,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,1485.0,1491.05,1469.05,1475.45,1477.0,1482.65,254899,377207696.35,8057,LEGACY
2019-01-01,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,2618.1,2634.0,2600.0,2607.05,2608.0,2616.5,338757,886095302.3,14470,LEGACY
2019-01-01,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1500.35,1510.95,1490.0,1498.0,1490.05,1515.35,4785,7188543.9,1710,LEGACY
2019-01-01,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,690.5,697.6,687.55,692.15,691.75,693.05,436483,302232335.0,8571,LEGACY
2019-01-01,GRANULES,Granules India,EQ,INE101D01020,89.95,91.35,89.1,90.8,90.7,89.75,747168,67608330.95,3974,LEGACY
2019-01-01,IPCALAB,IPCA Laboratories,EQ,INE571A01020,800.05,819.0,793.15,816.35,813.7,802.1,63581,51544145.95,3265,LEGACY
2019-01-01,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,304.25,313.0,300.85,311.25,311.0,305.9,18282,5636477.3,796,LEGACY
2019-01-01,LAURUSLABS,Laurus Labs,EQ,INE947Q01010,379.05,385.4,378.0,382.95,382.05,379.55,5906,2249697.2,333,LEGACY
2019-01-01,LUPIN,Lupin,EQ,INE326A01037,848.7,852.7,839.0,841.45,842.0,844.3,1122895,948837919.45,32186,LEGACY
2019-01-01,NATCOPHARM,Natco Pharma,EQ,INE987B01026,687.0,698.5,678.5,694.35,693.95,680.05,112551,77617302.95,4540,LEGACY
2019-01-01,PEL,Piramal Enterprises,EQ,INE140A01024,2392.0,2398.9,2355.1,2395.3,2398.8,2381.75,282866,672895271.7,14244,LEGACY
2019-01-01,PFIZER,Pfizer,EQ,INE182A01018,2860.0,2893.95,2820.1,2871.55,2850.0,2854.35,19306,55119705.7,2612,LEGACY
2019-01-01,SANOFI,Sanofi India,EQ,INE058A01010,6370.0,6380.0,6300.0,6339.95,6310.0,6370.5,1412,8950307.35,521,LEGACY
2019-01-01,STAR,Strides Pharma Science,EQ,INE939A01011,463.3,471.6,460.9,466.15,466.5,461.0,709205,330889257.7,11753,LEGACY
2019-01-01,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,432.5,438.8,429.65,433.55,432.7,430.5,8487116,3691997044.25,91786,LEGACY
2019-01-01,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,1783.95,1784.95,1761.6,1775.55,1783.9,1771.4,40853,72512968.9,2729,LEGACY
2019-01-01,WOCKPHARMA,Wockhardt,EQ,INE049B01025,523.0,536.0,522.95,528.75,529.6,523.25,1817409,965820790.9,27441,LEGACY
2019-01-02,ABBOTINDIA,Abbott India,EQ,INE358A01014,7580.0,7580.0,7506.0,7527.05,7517.0,7580.05,1013,7643031.8,359,LEGACY
