DATE,STATUS,ROWS,MESSAGE
2024-01-01,SUCCESS,32,
2024-01-02,SUCCESS,31,
2024-01-03,SUCCESS,31,
2024-01-04,SUCCESS,30,
2024-01-05,SUCCESS,31,
2024-01-08,NO_REPORT,0,Likely NSE holiday
2024-01-09,SUCCESS,30,
2024-01-10,SUCCESS,30,
2024-01-11,SUCCESS,28,
2024-01-12,SUCCESS,30,
2024-01-15,SUCCESS,29,
2024-01-16,NO_REPORT,0,Likely NSE holiday
2024-01-17,SUCCESS,30,
2024-01-18,SUCCESS,29,
2024-01-19,SUCCESS,29,
2024-01-22,NO_REPORT,0,Likely NSE holiday
2024-01-23,SUCCESS,29,
2024-01-24,SUCCESS,30,
2024-01-25,SUCCESS,34,
2024-01-26,NO_REPORT,0,Likely NSE holiday
2024-01-29,SUCCESS,30,
2024-01-30,SUCCESS,29,
2024-01-31,SUCCESS,28,
2024-02-01,SUCCESS,29,
2024-02-02,SUCCESS,31,
2024-02-05,NO_REPORT,0,Likely NSE holiday
2024-02-06,NO_REPORT,0,Likely NSE holiday
2024-02-07,SUCCESS,29,
2024-02-08,SUCCESS,31,
2024-02-09,SUCCESS,31,
2024-02-12,SUCCESS,31,
2024-02-13,SUCCESS,29,
2024-02-14,SUCCESS,30,
2024-02-15,SUCCESS,30,
2024-02-16,SUCCESS,30,
2024-02-19,NO_REPORT,0,Likely NSE holiday
2024-02-20,SUCCESS,31,
2024-02-21,NO_REPORT,0,Likely NSE holiday
2024-02-22,SUCCESS,30,
2024-02-23,SUCCESS,30,
2024-02-26,SUCCESS,28,
2024-02-27,SUCCESS,30,
2024-02-28,SUCCESS,31,
2024-02-29,SUCCESS,32,
2024-03-01,SUCCESS,30,
2024-03-04,SUCCESS,29,
2024-03-05,SUCCESS,30,
2024-03-06,SUCCESS,29,
2024-03-07,NO_REPORT,0,Likely NSE holiday
2024-03-08,NO_REPORT,0,Likely NSE holiday
2024-03-11,SUCCESS,31,
2024-03-12,SUCCESS,29,
2024-03-13,NO_REPORT,0,Likely NSE holiday
2024-03-14,SUCCESS,31,
2024-03-15,SUCCESS,31,
2024-03-18,SUCCESS,30,
2024-03-19,SUCCESS,29,
2024-03-20,SUCCESS,29,
2024-03-21,SUCCESS,28,
2024-03-22,SUCCESS,30,
2024-03-25,NO_REPORT,0,Likely NSE holiday
2024-03-26,SUCCESS,29,
2024-03-27,NO_REPORT,0,Likely NSE holiday
