DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2024-01-01,ABBOTINDIA,Abbott India,EQ,INE358A01014,22852.0,22903.9,22720.0,22761.1,22775.0,22851.25,24341,554790532.1,5632,LEGACY
2024-01-01,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,2083.0,2170.2,2053.65,2159.65,2136.0,2083.65,166867,355699990.3,18352,LEGACY
2024-01-01,ALKEM,Alkem Laboratories,EQ,INE540L01014,5209.95,5225.0,5093.2,5120.0,5120.1,5202.6,101017,520569702.7,19964,LEGACY
2024-01-01,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,760.15,768.95,756.7,765.9,766.0,759.4,46900,35797794.05,4594,LEGACY
2024-01-01,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,1085.05,1093.95,1077.05,1080.15,1080.7,1084.0,985073,1069206224.8,39802,LEGACY
2024-01-01,BIOCON,Biocon,EQ,INE376G01013,249.8,259.65,249.65,255.55,255.2,249.65,7038993,1801887351.65,40491,LEGACY
2024-01-01,CIPLA,Cipla,EQ,INE059A01026,1252.45,1256.8,1246.7,1251.0,1250.0,1246.3,343584,429927015.25,28340,LEGACY
2024-01-01,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,3910.0,3939.95,3882.15,3915.9,3905.0,3903.9,240126,939434163.2,27169,LEGACY
2024-01-01,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,5800.0,5860.0,5800.0,5821.65,5815.0,5797.9,195680,1141708117.3,36987,LEGACY
2024-01-01,GLAND,Gland Pharma,EQ,INE068V01023,1934.9,1956.55,1900.0,1906.55,1902.5,1924.5,106769,205671658.6,13992,LEGACY
2024-01-01,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1905.9,1988.85,1904.45,1951.55,1957.9,1898.15,599164,1160378190.35,42935,LEGACY
2024-01-01,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,854.0,861.9,848.0,855.65,852.0,853.95,415165,355278063.5,13850,LEGACY
2024-01-01,GRANULES,Granules India,EQ,INE101D01020,407.0,417.85,404.1,411.8,410.65,405.45,3168914,1307956174.4,37628,LEGACY
2024-01-01,IPCALAB,IPCA Laboratories,EQ,INE571A01038,1104.3,1125.85,1103.95,1119.35,1113.15,1113.15,254640,285260845.8,20741,LEGACY
2024-01-01,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01036,1625.0,1632.0,1605.0,1615.6,1616.0,1624.65,126077,204152893.8,17874,LEGACY
2024-01-01,LAURUSLABS,Laurus Labs,EQ,INE947Q01028,431.0,441.35,429.0,433.05,432.0,430.2,2368738,1032422306.9,28437,LEGACY
2024-01-01,LUPIN,Lupin,EQ,INE326A01037,1324.0,1330.0,1308.65,1312.85,1311.3,1322.95,854557,1124144700.75,33909,LEGACY
2024-01-01,MANKIND,Mankind Pharma,EQ,INE634S01028,1990.0,2007.65,1967.3,1979.2,1981.0,1982.5,97989,194313871.0,6763,LEGACY
2024-01-01,NATCOPHARM,Natco Pharma,EQ,INE987B01026,811.95,824.0,811.0,818.35,818.8,811.35,535166,437968547.9,18832,LEGACY
2024-01-01,PEL,Piramal Enterprises,EQ,INE140A01024,930.0,947.1,925.0,934.2,932.4,931.4,1044566,980765521.95,32002,LEGACY
2024-01-01,PEL,Piramal Enterprises,N0,INE140A07757,1008.0,1010.0,1008.0,1010.0,1010.0,1010.0,555,560350.0,3,LEGACY
2024-01-01,PEL,Piramal Enterprises,N1,INE140A07740,1008.0,1008.0,1008.0,1008.0,1008.0,1005.0,40,40320.0,1,LEGACY
2024-01-01,PEL,Piramal Enterprises,N2,INE140A07765,1005.1,1005.1,1005.1,1005.1,1005.1,1001.0,36,36183.6,4,LEGACY
2024-01-01,PEL,Piramal Enterprises,N3,INE140A07773,1000.0,1020.0,1000.0,1020.0,1020.0,1017.5,140,142200.0,10,LEGACY
2024-01-01,PFIZER,Pfizer,EQ,INE182A01018,4297.0,4297.0,4235.35,4267.5,4269.9,4268.95,10807,46103058.8,3196,LEGACY
2024-01-01,PPLPHARMA,Piramal Pharma,EQ,INE0DK501011,138.9,139.6,137.8,138.55,138.65,138.85,3223669,446866600.95,15215,LEGACY
2024-01-01,SANOFI,Sanofi India,EQ,INE058A01010,8067.55,8168.85,8025.6,8124.05,8100.0,8067.55,7384,59842791.2,2157,LEGACY
