DATE,STATUS,ROWS,MESSAGE
2021-01-01,SUCCESS,26,
2021-01-04,SUCCESS,26,
2021-01-05,NO_REPORT,0,Likely NSE holiday
2021-01-06,SUCCESS,26,
2021-01-07,NO_REPORT,0,Likely NSE holiday
2021-01-08,SUCCESS,26,
2021-01-11,SUCCESS,26,
2021-01-12,SUCCESS,26,
2021-01-13,SUCCESS,26,
2021-01-14,SUCCESS,26,
2021-01-15,NO_REPORT,0,Likely NSE holiday
2021-01-18,SUCCESS,26,
2021-01-19,SUCCESS,26,
2021-01-20,SUCCESS,26,
2021-01-21,SUCCESS,26,
2021-01-22,SUCCESS,26,
2021-01-25,SUCCESS,26,
2021-01-26,NO_REPORT,0,Likely NSE holiday
2021-01-27,SUCCESS,26,
2021-01-28,SUCCESS,26,
2021-01-29,SUCCESS,26,
2021-02-01,SUCCESS,26,
2021-02-02,SUCCESS,26,
2021-02-03,SUCCESS,26,
2021-02-04,SUCCESS,26,
2021-02-05,SUCCESS,26,
2021-02-08,SUCCESS,26,
2021-02-09,NO_REPORT,0,Likely NSE holiday
2021-02-10,SUCCESS,26,
2021-02-11,SUCCESS,26,
2021-02-12,SUCCESS,26,
2021-02-15,SUCCESS,26,
2021-02-16,SUCCESS,26,
2021-02-17,SUCCESS,26,
2021-02-18,SUCCESS,26,
2021-02-19,NO_REPORT,0,Likely NSE holiday
2021-02-22,SUCCESS,26,
2021-02-23,SUCCESS,26,
2021-02-24,SUCCESS,26,
2021-02-25,SUCCESS,26,
2021-02-26,SUCCESS,26,
2021-03-01,SUCCESS,26,
2021-03-02,SUCCESS,26,
2021-03-03,SUCCESS,26,
2021-03-04,SUCCESS,26,
2021-03-05,SUCCESS,26,
2021-03-08,SUCCESS,26,
2021-03-09,SUCCESS,26,
2021-03-10,SUCCESS,26,
2021-03-11,NO_REPORT,0,Likely NSE holiday
2021-03-12,SUCCESS,26,
2021-03-15,SUCCESS,26,
2021-03-16,SUCCESS,26,
2021-03-17,SUCCESS,26,
2021-03-18,SUCCESS,26,
2021-03-19,SUCCESS,26,
2021-03-22,SUCCESS,26,
2021-03-23,SUCCESS,26,
2021-03-24,SUCCESS,26,
2021-03-25,SUCCESS,26,
2021-03-26,SUCCESS,26,
2021-03-29,NO_REPORT,0,Likely NSE holiday
2021-03-30,SUCCESS,26,
2021-03-31,SUCCESS,26,
2021-04-01,SUCCESS,26,
2021-04-02,NO_REPORT,0,Likely NSE holiday
2021-04-05,SUCCESS,26,
2021-04-06,SUCCESS,26,
2021-04-07,SUCCESS,27,
2021-04-08,SUCCESS,26,
2021-04-09,SUCCESS,26,
2021-04-12,SUCCESS,26,
2021-04-13,SUCCESS,26,
2021-04-14,NO_REPORT,0,Likely NSE holiday
2021-04-15,SUCCESS,26,
2021-04-16,SUCCESS,26,
2021-04-19,SUCCESS,26,
2021-04-20,SUCCESS,26,
2021-04-21,NO_REPORT,0,Likely NSE holiday
2021-04-22,SUCCESS,26,
2021-04-23,NO_REPORT,0,Likely NSE holiday
2021-04-26,SUCCESS,26,
2021-04-27,NO_REPORT,0,Likely NSE holiday
2021-04-28,SUCCESS,26,
2021-04-29,SUCCESS,26,
2021-04-30,SUCCESS,26,
2021-05-03,NO_REPORT,0,Likely NSE holiday
2021-05-04,SUCCESS,26,
2021-05-05,SUCCESS,26,
2021-05-06,SUCCESS,26,
2021-05-07,SUCCESS,26,
2021-05-10,SUCCESS,26,
2021-05-11,SUCCESS,26,
2021-05-12,SUCCESS,26,
2021-05-13,NO_REPORT,0,Likely NSE holiday
2021-05-14,SUCCESS,26,
2021-05-17,SUCCESS,26,
2021-05-18,SUCCESS,26,
2021-05-19,SUCCESS,26,
2021-05-20,SUCCESS,26,
2021-05-21,SUCCESS,26,
2021-05-24,SUCCESS,26,
2021-05-25,SUCCESS,26,
2021-05-26,SUCCESS,26,
2021-05-27,SUCCESS,26,
2021-05-28,SUCCESS,26,
2021-05-31,SUCCESS,26,
2021-06-01,SUCCESS,26,
2021-06-02,SUCCESS,26,
2021-06-03,SUCCESS,26,
2021-06-04,SUCCESS,26,
2021-06-07,NO_REPORT,0,Likely NSE holiday
2021-06-08,SUCCESS,26,
2021-06-09,SUCCESS,26,
2021-06-10,SUCCESS,26,
2021-06-11,SUCCESS,26,
2021-06-14,SUCCESS,26,
2021-06-15,SUCCESS,26,
2021-06-16,SUCCESS,26,
2021-06-17,SUCCESS,26,
2021-06-18,NO_REPORT,0,Likely NSE holiday
2021-06-21,SUCCESS,26,
2021-06-22,SUCCESS,26,
2021-06-23,SUCCESS,26,
2021-06-24,SUCCESS,26,
2021-06-25,SUCCESS,26,
2021-06-28,SUCCESS,26,
2021-06-29,NO_REPORT,0,Likely NSE holiday
2021-06-30,NO_REPORT,0,Likely NSE holiday
2021-07-01,SUCCESS,26,
2021-07-02,SUCCESS,26,
2021-07-05,SUCCESS,26,
2021-07-06,SUCCESS,26,
2021-07-07,SUCCESS,26,
2021-07-08,SUCCESS,26,
2021-07-09,SUCCESS,26,
2021-07-12,SUCCESS,26,
2021-07-13,SUCCESS,26,
2021-07-14,SUCCESS,26,
2021-07-15,SUCCESS,26,
2021-07-16,SUCCESS,26,
2021-07-19,SUCCESS,26,
2021-07-20,SUCCESS,27,
2021-07-21,NO_REPORT,0,Likely NSE holiday
2021-07-22,SUCCESS,26,
2021-07-23,SUCCESS,27,
2021-07-26,SUCCESS,26,
2021-07-27,SUCCESS,27,
2021-07-28,SUCCESS,26,
2021-07-29,SUCCESS,26,
2021-07-30,NO_REPORT,0,Likely NSE holiday
2021-08-02,NO_REPORT,0,Likely NSE holiday
2021-08-03,SUCCESS,26,
2021-08-04,SUCCESS,26,
2021-08-05,SUCCESS,26,
2021-08-06,SUCCESS,26,
2021-08-09,SUCCESS,26,
2021-08-10,NO_REPORT,0,Likely NSE holiday
2021-08-11,SUCCESS,26,
2021-08-12,SUCCESS,26,
2021-08-13,SUCCESS,26,
2021-08-16,SUCCESS,26,
2021-08-17,SUCCESS,26,
2021-08-18,SUCCESS,26,
2021-08-19,NO_REPORT,0,Likely NSE holiday
2021-08-20,SUCCESS,26,
2021-08-23,SUCCESS,26,
2021-08-24,SUCCESS,26,
2021-08-25,SUCCESS,26,
2021-08-26,SUCCESS,26,
2021-08-27,NO_REPORT,0,Likely NSE holiday
2021-08-30,SUCCESS,26,
2021-08-31,SUCCESS,26,
2021-09-01,SUCCESS,26,
2021-09-02,SUCCESS,26,
2021-09-03,NO_REPORT,0,Likely NSE holiday
2021-09-06,SUCCESS,26,
2021-09-07,SUCCESS,26,
2021-09-08,SUCCESS,26,
2021-09-09,SUCCESS,26,
2021-09-10,NO_REPORT,0,Likely NSE holiday
2021-09-13,SUCCESS,26,
2021-09-14,SUCCESS,26,
2021-09-15,SUCCESS,26,
2021-09-16,SUCCESS,26,
2021-09-17,SUCCESS,26,
2021-09-20,SUCCESS,26,
2021-09-21,SUCCESS,26,
2021-09-22,SUCCESS,26,
2021-09-23,SUCCESS,26,
2021-09-24,SUCCESS,26,
2021-09-27,SUCCESS,26,
2021-09-28,SUCCESS,26,
2021-09-29,SUCCESS,26,
2021-09-30,SUCCESS,26,
2021-10-01,SUCCESS,26,
2021-10-04,SUCCESS,35,
2021-10-05,SUCCESS,26,
2021-10-06,SUCCESS,26,
2021-10-07,SUCCESS,26,
2021-10-08,SUCCESS,26,
2021-10-11,SUCCESS,26,
2021-10-12,SUCCESS,26,
2021-10-13,SUCCESS,26,
2021-10-14,NO_REPORT,0,Likely NSE holiday
2021-10-15,NO_REPORT,0,Likely NSE holiday
2021-10-18,SUCCESS,26,
2021-10-19,SUCCESS,26,
2021-10-20,NO_REPORT,0,Likely NSE holiday
2021-10-21,SUCCESS,26,
2021-10-22,SUCCESS,26,
2021-10-25,SUCCESS,26,
2021-10-26,SUCCESS,26,
2021-10-27,SUCCESS,26,
2021-10-28,SUCCESS,26,
2021-10-29,NO_REPORT,0,Likely NSE holiday
2021-11-01,SUCCESS,26,
2021-11-02,SUCCESS,26,
2021-11-03,SUCCESS,26,
2021-11-04,SUCCESS,26,
2021-11-05,NO_REPORT,0,Likely NSE holiday
2021-11-08,SUCCESS,26,
2021-11-09,NO_REPORT,0,Likely NSE holiday
2021-11-10,SUCCESS,26,
2021-11-11,SUCCESS,26,
2021-11-12,SUCCESS,26,
2021-11-15,SUCCESS,26,
2021-11-16,SUCCESS,26,
2021-11-17,SUCCESS,26,
2021-11-18,SUCCESS,26,
2021-11-19,NO_REPORT,0,Likely NSE holiday
2021-11-22,NO_REPORT,0,Likely NSE holiday
2021-11-23,NO_REPORT,0,Likely NSE holiday
2021-11-24,NO_REPORT,0,Likely NSE holiday
2021-11-25,SUCCESS,26,
2021-11-26,SUCCESS,26,
2021-11-29,NO_REPORT,0,Likely NSE holiday
2021-11-30,SUCCESS,26,
2021-12-01,SUCCESS,26,
2021-12-02,NO_REPORT,0,Likely NSE holiday
2021-12-03,SUCCESS,26,
2021-12-06,NO_REPORT,0,Likely NSE holiday
2021-12-07,SUCCESS,26,
2021-12-08,SUCCESS,26,
2021-12-09,SUCCESS,26,
2021-12-10,SUCCESS,26,
