DATE,COMPANY_ID,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT,SOURCE_YEAR,CA_EVENT_TYPE,CA_LEDGER_IDS,CA_ORIGINAL_EX_DATES,CASH_DIVIDEND_PER_SHARE,SAME_STOCK_SHARE_MULTIPLIER,RIGHTS_NEW_SHARES,RIGHTS_EXISTING_SHARES,RIGHTS_ISSUE_PRICE,STRUCTURAL_BREAK_FLAG,STRUCTURAL_BREAK_EVENT_DATE,MAX_EVENT_APPLY_LAG_DAYS,RAW_PREV_DATE_UNSEGMENTED,RAW_PREV_CLOSE_UNSEGMENTED,RAW_PRICE_RETURN,SEGMENT_NUMBER,SEGMENT_ID,TR_PREV_DATE,TR_PREV_CLOSE,DAYS_SINCE_PREV_OBS,CA_ADJUSTED_REFERENCE_PRICE,RIGHTS_BENEFIT_PER_POST_SHARE,RIGHTS_NSE_ADJUSTMENT_FACTOR,TOTAL_RETURN,TOTAL_RETURN_INDEX
2016-01-01,ABBOTINDIA,ABBOTINDIA,Abbott India,EQ,INE358A01014,6028.9,6030.0,5885.0,5895.95,5915.0,6010.75,3258,19393288.0,720,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,ABBOTINDIA_SEG1,,,,,,,,100.0
2016-01-01,AJANTPHARM,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,1331.9,1351.0,1328.25,1331.95,1331.0,1331.75,108454,145001613.5,5788,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,AJANTPHARM_SEG1,,,,,,,,100.0
2016-01-01,ALKEM,ALKEM,Alkem Laboratories,EQ,INE540L01014,1495.0,1519.0,1480.0,1503.1,1503.0,1485.25,508347,763831059.3,18465,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,ALKEM_SEG1,,,,,,,,100.0
2016-01-01,APLLTD,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,694.95,699.0,685.1,687.85,686.0,696.05,53975,37405610.85,1773,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,APLLTD_SEG1,,,,,,,,100.0
2016-01-01,AUROPHARMA,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,879.9,886.0,871.5,881.4,878.15,875.95,851682,751169441.4,15121,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,AUROPHARMA_SEG1,,,,,,,,100.0
2016-01-01,BIOCON,BIOCON,Biocon,EQ,INE376G01013,520.95,528.5,515.7,521.2,520.35,518.1,782912,409201341.7,11034,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,BIOCON_SEG1,,,,,,,,100.0
2016-01-01,CIPLA,CIPLA,Cipla,EQ,INE059A01026,653.2,658.45,648.5,655.35,654.25,649.75,556012,364088638.75,16076,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,CIPLA_SEG1,,,,,,,,100.0
2016-01-01,DIVISLAB,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,1154.0,1165.0,1145.55,1162.5,1163.0,1154.85,100178,116278197.75,4754,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,DIVISLAB_SEG1,,,,,,,,100.0
2016-01-01,DRREDDY,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,3118.8,3123.0,3090.0,3108.6,3100.0,3108.6,171860,534501590.75,9350,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,DRREDDY_SEG1,,,,,,,,100.0
2016-01-01,GLAXO,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,3315.0,3317.15,3288.0,3294.85,3290.15,3314.05,1950,6433109.05,549,LEGACY,2016.0,NONE,,,0.0,1.0,,,,False,,0,,,,1,GLAXO_SEG1,,,,,,,,100.0
