DATE,STATUS,ROWS,MESSAGE
2018-01-01,NO_REPORT,0,Likely NSE holiday
2018-01-02,SUCCESS,25,
2018-01-03,SUCCESS,26,
2018-01-04,SUCCESS,25,
2018-01-05,NO_REPORT,0,Likely NSE holiday
2018-01-08,SUCCESS,25,
2018-01-09,SUCCESS,25,
2018-01-10,SUCCESS,25,
2018-01-11,SUCCESS,26,
2018-01-12,SUCCESS,25,
2018-01-15,SUCCESS,25,
2018-01-16,SUCCESS,25,
2018-01-17,SUCCESS,26,
2018-01-18,NO_REPORT,0,Likely NSE holiday
2018-01-19,SUCCESS,25,
2018-01-22,SUCCESS,25,
2018-01-23,SUCCESS,25,
2018-01-24,SUCCESS,25,
2018-01-25,SUCCESS,25,
2018-01-26,NO_REPORT,0,Likely NSE holiday
2018-01-29,SUCCESS,25,
2018-01-30,SUCCESS,25,
2018-01-31,NO_REPORT,0,Likely NSE holiday
2018-02-01,SUCCESS,25,
2018-02-02,SUCCESS,25,
2018-02-05,NO_REPORT,0,Likely NSE holiday
2018-02-06,SUCCESS,25,
2018-02-07,SUCCESS,25,
2018-02-08,SUCCESS,25,
2018-02-09,SUCCESS,25,
2018-02-12,SUCCESS,25,
2018-02-13,NO_REPORT,0,Likely NSE holiday
2018-02-14,NO_REPORT,0,Likely NSE holiday
2018-02-15,SUCCESS,25,
2018-02-16,NO_REPORT,0,Likely NSE holiday
2018-02-19,SUCCESS,25,
2018-02-20,SUCCESS,26,
2018-02-21,SUCCESS,25,
2018-02-22,SUCCESS,25,
2018-02-23,SUCCESS,25,
2018-02-26,SUCCESS,25,
2018-02-27,NO_REPORT,0,Likely NSE holiday
2018-02-28,SUCCESS,26,
2018-03-01,SUCCESS,25,
2018-03-02,NO_REPORT,0,Likely NSE holiday
2018-03-05,SUCCESS,25,
2018-03-06,SUCCESS,26,
2018-03-07,SUCCESS,26,
2018-03-08,SUCCESS,26,
2018-03-09,NO_REPORT,0,Likely NSE holiday
2018-03-12,SUCCESS,25,
2018-03-13,SUCCESS,26,
2018-03-14,SUCCESS,25,
2018-03-15,SUCCESS,26,
