DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2018-01-02,ABBOTINDIA,Abbott India,EQ,INE358A01014,5450.0,5533.95,5421.2,5443.55,5455.0,5497.75,1578,8600389.4,310,LEGACY
2018-01-02,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,1501.8,1505.5,1466.05,1472.5,1478.55,1493.75,191270,282708996.75,9623,LEGACY
2018-01-02,ALKEM,Alkem Laboratories,EQ,INE540L01014,2220.3,2225.0,2181.0,2200.1,2198.0,2225.95,11674,25754579.75,2811,LEGACY
2018-01-02,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,531.2,531.65,522.0,526.45,528.5,531.2,9263,4882812.1,547,LEGACY
2018-01-02,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,685.35,688.3,668.65,671.4,672.5,683.95,1856956,1254946994.1,63505,LEGACY
2018-01-02,BIOCON,Biocon,EQ,INE376G01013,540.4,547.3,534.45,541.7,540.1,538.0,1485518,802859271.8,18370,LEGACY
2018-01-02,CADILAHC,Cadila Healthcare,EQ,INE010B01027,434.0,436.0,427.0,428.3,428.8,432.55,348082,149789274.0,6437,LEGACY
2018-01-02,CIPLA,Cipla,EQ,INE059A01026,614.2,619.0,605.5,607.8,610.0,611.5,1038258,635863120.15,18286,LEGACY
2018-01-02,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,1100.0,1109.45,1073.45,1080.9,1079.0,1099.05,413942,448936311.0,10725,LEGACY
2018-01-02,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,2427.0,2439.0,2395.6,2409.2,2405.0,2404.15,251537,607883952.0,15019,LEGACY
2018-01-02,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,2470.0,2498.0,2442.0,2466.0,2498.0,2463.0,13299,32733434.05,1505,LEGACY
2018-01-02,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,593.1,602.6,588.5,592.8,591.8,596.1,570711,339371179.45,12158,LEGACY
2018-01-02,GRANULES,Granules India,EQ,INE101D01020,137.5,138.2,133.0,134.15,134.1,137.45,1971621,265077508.65,8168,LEGACY
2018-01-02,IPCALAB,IPCA Laboratories,EQ,INE571A01020,600.0,600.0,585.0,587.55,586.0,599.8,122806,72502907.9,8945,LEGACY
2018-01-02,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,339.9,339.9,327.05,328.75,328.05,336.85,67352,22350503.55,1740,LEGACY
2018-01-02,LAURUSLABS,Laurus Labs,EQ,INE947Q01010,544.4,544.4,535.0,535.95,535.2,539.6,90514,48622102.0,1585,LEGACY
2018-01-02,LUPIN,Lupin,EQ,INE326A01037,887.9,888.0,871.25,875.15,875.0,883.25,1199522,1052887753.9,50007,LEGACY
2018-01-02,NATCOPHARM,Natco Pharma,EQ,INE987B01026,989.95,992.9,962.0,966.95,965.15,986.3,189278,184114867.7,9746,LEGACY
2018-01-02,PEL,Piramal Enterprises,EQ,INE140A01024,2860.0,2879.95,2820.5,2848.45,2840.1,2844.5,121204,345244945.05,8623,LEGACY
2018-01-02,PFIZER,Pfizer,EQ,INE182A01018,2045.0,2060.0,2027.6,2049.5,2060.0,2046.65,12333,25252498.45,1196,LEGACY
2018-01-02,SANOFI,Sanofi India,EQ,INE058A01010,4749.9,4749.9,4666.0,4676.15,4689.0,4699.2,1922,9005702.5,595,LEGACY
2018-01-02,STAR,Strides Pharma Science,EQ,INE939A01011,823.9,826.95,810.0,816.8,817.5,821.3,187290,152941880.85,6921,LEGACY
