SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Interim Dividend - Rs 7 Per Share Special Dividend - Rs 3 Per Share,2,2020-03-16,2020-03-17,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 17 Per Share Special Dividend - Rs 15 Per Share,5,2020-03-18,2020-03-19,,,,
CIPLA,Cipla,Cipla Limited,EQ,Interim Dividend - Rs 3 Per Share Special Dividend - Re 1 Per Share,2,2020-03-19,2020-03-20,,,,
GRANULES,Granules India,Granules India Limited,EQ,Buyback,1,2020-03-19,2020-03-20,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs 1.50 Per Share,2,2020-03-23,2020-03-25,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Interim Dividend - Rs 3.50 Per Share,1,2020-03-23,2020-03-24,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Special Dividend - Rs 320 Per Share,10,2020-05-06,2020-05-08,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Re 1 Per Share,2,2020-06-26,2020-06-29,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Dividend - Rs 106 Per Share Special Dividend 243 Per Share,10,2020-06-29,,2020-07-01,2020-07-07,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting/Dividend - Re 1 Per Share,2,2020-07-01,,2020-07-03,2020-07-09,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 25 Per Share,1,2020-07-13,,2020-07-15,2020-07-17,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Annual General Meeting/Dividend - Rs 14 Per Share,2,2020-07-16,,2020-07-18,2020-07-30,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend - Rs 20 And Special Dividend - Rs 20 Per Share,10,2020-07-17,2020-07-20,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Annual General Meeting,2,2020-07-21,,2020-07-23,2020-07-30,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Annual General Meeting/Dividend - Rs 2 Per Share,10,2020-07-24,2020-07-27,,,,
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Annual General Meeting,5,2020-07-24,,2020-07-28,2020-08-03,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25 Per Share,1,2020-07-28,2020-07-29,,,,
LUPIN,Lupin,Lupin Limited,EQ,Annual General Meeting/Dividend - Rs  6 Per Share,2,2020-08-03,,2020-08-05,2020-08-12,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting/Dividend - Rs 0.25 Per Share,1,2020-08-05,,2020-08-07,2020-08-13,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 3 Per Share,2,2020-08-10,2020-08-11,,,,
CIPLA,Cipla,Cipla Limited,EQ,Annual General Meeting,2,2020-08-11,,2020-08-13,2020-08-27,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Annual General Meeting,1,2020-08-12,,2020-08-14,2020-08-21,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Annual General Meeting/Dividend - Re 1 Per Share,1,2020-08-19,,2020-08-21,2020-08-27,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting/Interim Dividend - Rs 1.25 Per Share,1,2020-08-21,,2020-08-25,2020-08-27,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,2,2020-08-21,2020-08-24,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Annual General Meeting/Dividend - Rs 10 Per Share,10,2020-08-27,,2020-08-29,2020-09-04,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Annual General Meeting/Dividend - Rs 107 Per Share And Special Dividend - Rs 143 Per Share,10,2020-08-28,,2020-09-01,2020-09-07,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Annual General Meeting,2,2020-09-04,,2020-09-08,2020-09-14,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Annual General Meeting,1,2020-09-10,,2020-09-12,2020-09-17,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 2.50 Per Share,1,2020-09-17,,2020-09-19,2020-09-29,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend -  Re 1 Per Share,1,2020-09-22,2020-09-23,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,2020-09-29,2020-09-30,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2020-10-09,,2020-10-13,2020-10-15,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25 Per Share,1,2020-10-28,2020-10-30,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs  0.80 Per Share,2,2020-11-10,2020-11-11,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Buyback,2,2020-11-12,2020-11-13,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 9.50 Per Share,2,2020-11-12,2020-11-13,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Interim Dividend - Rs 8 Per Share,1,2020-11-13,2020-11-17,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs  1.25 Per Share,1,2020-11-23,2020-11-24,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs  3 Per Share,2,2020-11-24,2020-11-25,,,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25  Per Share,1,2021-02-08,2021-02-09,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs 0.40 Per Share,2,2021-02-08,2021-02-09,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Interim Dividend - Rs 5.50 Per Share,1,2021-02-09,2021-02-10,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 25 Per Share,2,2021-02-11,2021-02-13,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 20 Per Share,5,2021-02-15,2021-02-16,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend - Rs. 8.50 Per Share,1,2021-02-18,2021-02-22,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,1,2021-02-22,2021-02-23,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Re 1  Per Share,2,2021-02-22,2021-02-23,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Dividend - Rs 125 Per Share Special Dividend 240 Per Share,10,2021-04-19,,2021-04-21,2021-04-27,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Re 0.80  Per Share,2,2021-05-11,2021-05-12,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend - Rs 15 Per Share,5,2021-06-17,2021-06-18,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Dividend - Rs 33 Per Share,2,2021-07-06,2021-07-07,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting,2,2021-07-07,,2021-07-09,2021-07-15,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 25 Per Share,1,2021-07-09,,2021-07-13,2021-07-15,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Annual General Meeting/Dividend - Rs 120 Per Share Special Dividend 155 Per Share,10,2021-07-19,,2021-07-21,2021-07-27,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 14 Per Share,2,2021-07-19,,2021-07-21,2021-07-27,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 30 Per Share,10,2021-07-19,2021-07-20,,,,
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Annual General Meeting,5,2021-07-23,,2021-07-27,2021-08-02,,
LUPIN,Lupin,Lupin Limited,EQ,Dividend - Rs 6.50 Per Share,2,2021-07-27,2021-07-28,,,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting/Dividend - Rs 0.75 Per Share,1,2021-07-28,,2021-07-30,2021-08-05,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Annual General Meeting/Dividend - Rs 3.50 Per Share,1,2021-07-28,,2021-07-30,2021-08-06,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25 Per Share,1,2021-08-05,2021-08-06,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Dividend - Rs 2.50 Per Share,10,2021-08-05,2021-08-06,,,,
GLAND,Gland Pharma,Gland Pharma Limited,EQ,Annual General Meeting,1,2021-08-06,,2021-08-10,2021-08-26,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Dividend - Rs 5 Per Share,2,2021-08-09,2021-08-10,,,,
CIPLA,Cipla,Cipla Limited,EQ,Annual General Meeting/Dividend - Rs 5 Per Share,2,2021-08-09,,2021-08-11,2021-08-25,,
PFIZER,Pfizer,Pfizer Limited,EQ,Annual General Meeting/Dividend - Rs 30 Per Share/Special Dividend - Rs 5 Per Share,10,2021-08-11,,2021-08-13,2021-08-19,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Dividend - Rs 20 Per Share,2,2021-08-17,,2021-08-20,2021-08-22,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting,1,2021-08-20,,2021-08-24,2021-08-26,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Annual General Meeting/Dividend - Rs 2 Per Share,1,2021-08-23,,2021-08-25,2021-08-31,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 2 Per Share,2,2021-08-24,2021-08-25,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Annual General Meeting,1,2021-08-26,,2021-08-28,2021-09-02,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,1,2021-08-27,2021-08-30,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 8 Per Share,1,2021-09-01,2021-09-02,,,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 2.50 Per Share,1,2021-09-08,,2021-09-10,2021-09-24,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2021-09-23,,2021-09-27,2021-09-30,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 9.50 Per Share,2,2021-11-09,2021-11-10,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,1,2021-11-17,2021-11-18,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs 0.80 Per Share,2,2021-11-17,2021-11-18,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Interim Dividend - Rs 8 Per Share,1,2021-11-22,2021-11-23,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 0.50 Per Share,2,2021-11-23,2021-11-24,,,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25 Per Share,1,2021-11-24,2021-11-25,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,1,2022-01-10,2022-01-11,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Buyback,2,2022-01-13,2022-01-14,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 25 Per Share,5,2022-02-02,2022-02-03,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Interim Dividend - Rs 7 Per Share,1,2022-02-09,2022-02-10,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 30 Per Sh,2,2022-02-10,2022-02-12,,,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend - Rs 0.25 Per Share,1,2022-02-17,2022-02-18,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 1.50 Per Share,1,2022-02-18,2022-02-21,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend - Rs 8.50 Per Share,1,2022-02-23,2022-02-24,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 2 Per Share,2,2022-02-24,2022-02-25,,,,
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Rights 3:10@ Premium Rs 220 Per Share,5,2022-03-08,2022-03-09,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Annual General Meeting/Dividend - Rs 181  Per Share/Special Dividend - Rs 309 Per Share,10,2022-04-12,,2022-04-16,2022-04-26,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs 1.20 Per Share,2,2022-05-10,2022-05-11,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Buyback,1,2022-06-01,2022-06-02,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 4.50 Per Share,1,2022-06-06,2022-06-07,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Bonus- 1:2,2,2022-06-22,2022-06-23,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting,2,2022-06-22,,2022-06-24,2022-06-30,,
BIOCON,Biocon,Biocon Limited,EQ,Dividend - Rs 0.50 Per Share,5,2022-06-30,2022-07-01,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend - Rs 30  Per Share/Special Dividend- Rs 60 Per Share,10,2022-07-07,2022-07-08,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Bonus 1:1,5,2022-07-08,2022-07-11,,,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 30 Per Share,1,2022-07-11,,2022-07-13,2022-07-15,,
LUPIN,Lupin,Lupin Limited,EQ,Dividend - Rs  4 Per Share,2,2022-07-14,2022-07-15,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Dividend - Rs 33 Per Share,2,2022-07-14,2022-07-15,,,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting/Dividend - Rs 0.75 Per Share,1,2022-07-19,,2022-07-21,2022-07-27,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting,1,2022-07-27,,2022-07-29,2022-08-02,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Dividend - Rs 2.50 Per Share,1,2022-07-28,2022-07-29,,,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Annual General Meeting/Dividend - Rs 145 Per Share/Special Dividend- 130 Per Share,10,2022-08-02,,2022-08-04,2022-08-10,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Annual General Meeting,1,2022-08-03,,2022-08-05,2022-08-10,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Special Dividend - Rs 193 Per Sh,10,2022-08-05,2022-08-08,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Dividend - Rs 4 Per Share,2,2022-08-08,2022-08-10,,,,
CIPLA,Cipla,Cipla Limited,EQ,Dividend - Rs 5 Per Share,2,2022-08-08,2022-08-10,,,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,2022-08-11,2022-08-12,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Dividend - Rs 8 Per Sh,1,2022-08-12,2022-08-17,,,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Interim Dividend - Rs 10 Per Share,2,2022-08-17,2022-08-18,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend - Rs 35 Per Share,10,2022-08-18,2022-08-19,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs  3.50 Per Share,2,2022-08-19,2022-08-22,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Dividend - Rs 3 Per Share,1,2022-08-19,2022-08-22,,,,
GRANULES,Granules India,Granules India Limited,EQ,Buy Back,1,2022-08-22,2022-08-23,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Demerger,2,2022-08-30,2022-09-01,,,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 2.50 Per Share,1,2022-09-12,,2022-09-14,2022-09-27,,
PFIZER,Pfizer,Pfizer Limited,EQ,Special Dividend - Rs 30 Per Share,10,2022-09-19,2022-09-20,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2022-09-23,,2022-09-27,2022-09-30,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs  0.80 Per Share,2,2022-11-03,2022-11-04,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 7 Per Share,2,2022-11-11,2022-11-14,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Re 0.75 Per Share,2,2022-11-21,2022-11-22,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Interim Dividend - Rs 4 Per Share,1,2022-11-22,2022-11-23,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 14 Per Share,5,2023-02-03,2023-02-03,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Interim Dividend - Rs 7.50 Per Share,1,2023-02-08,2023-02-08,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 15 Per Share & Special Dividend Rs 25 Per Share,2,2023-02-17,2023-02-18,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 3 Per Share,1,2023-02-17,2023-02-17,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend - Rs 8.50 Per Share,1,2023-02-17,2023-02-18,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,2,2023-02-21,2023-02-21,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Buy Back,2,2023-03-24,2023-03-24,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Final Dividend - Rs  194/ Special Dividend - Rs 183 Per Share,10,2023-04-28,,2023-04-29,2023-05-11,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Rs 1.20 Per Share,2,2023-05-10,2023-05-10,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Dividend - Rs 31 Per Sh,2,2023-06-16,2023-06-16,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend - Rs 8 Per Share,5,2023-06-23,2023-06-23,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend - Rs 32  Per Share,10,2023-06-30,2023-06-30,,,,
BIOCON,Biocon,Biocon Limited,EQ,Dividend - Rs 1.50 Per Share,5,2023-07-07,2023-07-07,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting,2,2023-07-07,,2023-07-08,2023-07-14,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend - Rs 40 Per Share,1,2023-07-11,,2023-07-12,2023-07-14,,
LUPIN,Lupin,Lupin Limited,EQ,Dividend - Rs 4 Per Share,2,2023-07-14,2023-07-14,,,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Dividend - Rs 180 Per Share/ Special Dividend Rs 145 Per Share,10,2023-07-21,2023-07-21,,,,
CIPLA,Cipla,Cipla Limited,EQ,Dividend - Rs 8.50 Per Share,2,2023-07-21,2023-07-21,,,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Dividend - Rs 8 Per Share,2,2023-07-28,2023-07-28,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Dividend - Rs 4 Per Share,1,2023-07-28,2023-07-28,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Dividend - Rs 6 Per Share,1,2023-07-28,2023-07-28,,,,
PPLPHARMA,Piramal Pharma,Piramal Pharma Limited,EQ,Rights 5:46 @ Premium Rs 71/-,10,2023-08-02,2023-08-02,,,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting,1,2023-08-03,,2023-08-04,2023-08-10,,
GRANULES,Granules India,Granules India Limited,EQ,Dividend - Rs 1.50 Per Share,1,2023-08-03,2023-08-03,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 10 Per Share/Special Dividend - Rs 15 Per Share,2,2023-08-04,2023-08-04,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Dividend - Rs 1.50 Per Share,10,2023-08-04,2023-08-04,,,,
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Annual General Meeting,5,2023-08-07,2023-08-07,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Dividend - Rs 10 Per Share,2,2023-08-10,2023-08-10,,,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Dividend - Rs 30 Per Share,2,2023-08-11,2023-08-11,,,,
PFIZER,Pfizer,Pfizer Limited,EQ,Dividend - Rs 35 Per Share/ Special Dividend - Rs 5 Per Share,10,2023-08-11,2023-08-11,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Dividend - Rs 9.25 Per Share,1,2023-08-17,2023-08-17,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting,1,2023-08-22,,2023-08-23,2023-08-25,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 7 Per Share,2,2023-08-22,2023-08-22,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Buy Back,2,2023-08-25,2023-08-25,,,,
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Dividend - Rs 2.50 Per Share,1,2023-09-18,,2023-09-19,2023-09-29,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,1,2023-09-18,2023-09-18,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2023-09-25,,2023-09-26,2023-09-29,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Re 0.40 Per Share,2,2023-11-02,2023-11-02,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs 3 Per Share,1,2023-11-20,2023-11-20,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Interim Dividend - Rs 2 Per Share,1,2023-11-22,2023-11-22,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,2,2023-11-24,2023-11-24,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend - Rs 26 Per Share,2,2024-02-08,2024-02-08,,,,
SUNPHARMA,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,EQ,Interim Dividend - Rs 8.50 Per Share,1,2024-02-09,2024-02-09,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend - Rs 22 Per Share,5,2024-02-12,2024-02-12,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 35 Per Share,2,2024-02-16,2024-02-17,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Interim Dividend - Rs 5.50 Per Share,1,2024-02-16,2024-02-16,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend - Rs  1.50 Per Share,1,2024-02-20,2024-02-20,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Buy Back,1,2024-02-23,2024-02-23,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend - Rs 1.25 Per Share,2,2024-02-26,2024-02-26,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Interim Dividend - Rs 50 Per Share,10,2024-03-07,2024-03-07,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Annual General Meeting,10,2024-05-03,,2024-05-04,2024-05-14,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Dividend - Rs 117 Per Share,10,2024-05-03,2024-05-03,,,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Interim Dividend - Re 0.40 Per Share,2,2024-05-08,2024-05-08,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Buy Back,2,2024-05-30,2024-05-30,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend - Rs 32 Per Share,10,2024-05-31,2024-05-31,,,,
