SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Interim Dividend Rs 10/- Per Share (Purose Revised),5,2016-11-17,2016-11-19,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend Rs 6/- Per Share,2,2016-11-23,2016-11-24,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend Rs 1.25 Per Share,1,2016-11-24,2016-11-25,,,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend Re 0.25 Per Share,1,2017-02-07,2017-02-08,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend Rs 10/- Per Share (Purpose Revised),5,2017-02-10,2017-02-13,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend Rs 6/- Per Share,2,2017-02-23,2017-02-27,,,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Interim Dividend Rs 3.20 Per Share (Purpose Revised),1,2017-03-16,2017-03-17,,,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Interim Dividend Rs 7/- Per Share (Purpose Revised),2,2017-03-23,2017-03-25,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Annual General Meeting/Dividend Rs 50/- Per Share,10,2017-04-25,,2017-04-27,2017-05-05,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Buyback,1,2017-06-01,2017-06-02,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Inteim Dividend Rs 1.25 Per Share,1,2017-06-08,2017-06-09,,,,
BIOCON,Biocon,Biocon Limited,EQ,Bonus 2:1,5,2017-06-15,2017-06-17,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend - Rs 4/- Per Share,5,2017-06-19,,2017-06-21,2017-06-23,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Annual General Meeting,2,2017-06-23,,2017-06-28,2017-07-05,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting/Dividend - Rs 1.50/- Per Share,2,2017-07-06,,2017-07-10,2017-07-12,,
