LEDGER_ID,SOURCE_ROW_NUMBER,EX_DATE,RECORD_DATE,COMPANY_ID,SYMBOL,PRICE_SYMBOL,SERIES,PURPOSE,PURPOSE_NORMALIZED,ACTION_TAGS,PRIMARY_CLASS,TREATMENT_CODE,RESEARCH_RELEVANCE,STRUCTURAL_BREAK_FLAG,SPECIAL_DIVIDEND_FLAG,AUTO_TERMS_READY,MANUAL_REVIEW_REQUIRED,REVIEW_REASON,DIVIDEND_RUPEES_PER_SHARE,DIVIDEND_PARSE_STATUS,BONUS_NEW_SHARES,BONUS_EXISTING_SHARES,BONUS_SHARE_MULTIPLIER,BONUS_PARSE_STATUS,SPLIT_OLD_FACE_VALUE,SPLIT_NEW_FACE_VALUE,SPLIT_SHARE_MULTIPLIER,SPLIT_PARSE_STATUS,RIGHTS_NEW_SHARES,RIGHTS_EXISTING_SHARES,RIGHTS_RATIO_PARSE_STATUS,EQ_PRICE_ON_EX_DATE,EQ_CLOSE_ON_EX_DATE,COMPANY,NSE_COMPANY_NAME,FACE_VALUE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
CA0011,11,2016-03-17,2016-03-18,ZYDUS,ZYDUSLIFE,CADILAHC,EQ,Interim Dividend - Rs 3.20/- Per Share,INTERIM DIVIDEND - RS 3.20/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,3.2,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,337.5,Zydus Lifesciences,Zydus Lifesciences Limited,1,,,,
CA0012,12,2016-03-18,2016-03-21,ALKEM,ALKEM,ALKEM,EQ,Interim Dividend -Rs 9.70/- Per Share,INTERIM DIVIDEND -RS 9.70/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,9.7,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1374.95,Alkem Laboratories,Alkem Laboratories Limited,2,,,,
CA0013,13,2016-04-13,,SANOFI,SANOFI,SANOFI,EQ,Final Dividend - Rs 25/- Per Share + Special Dividend - Rs 22/- Per Share,FINAL DIVIDEND - RS 25/- PER SHARE + SPECIAL DIVIDEND - RS 22/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,True,False,True,SPECIAL_DIVIDEND_VERIFY_AND_AVOID_DOUBLE_COUNT,,AMBIGUOUS_MULTIPLE_AMOUNTS,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,4279.05,Sanofi India,Sanofi India Limited,10,2016-04-19,2016-04-29,,
CA0014,14,2016-06-09,2016-06-10,AUROPHARMA,AUROPHARMA,AUROPHARMA,EQ,Interim Dividend - Re 0.70/- Per Share,INTERIM DIVIDEND - RE 0.70/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,0.7,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,752.9,Aurobindo Pharma,Aurobindo Pharma Limited,1,,,,
CA0015,15,2016-06-22,,BIOCON,BIOCON,BIOCON,EQ,Annual General Meeting,ANNUAL GENERAL MEETING,AGM,ADMIN_ONLY,NO_PRICE_OR_TOTAL_RETURN_ADJUSTMENT,EQ_SERIES,False,False,False,False,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,716.1,Biocon,Biocon Limited,5,2016-06-24,2016-06-30,,
CA0016,16,2016-06-24,,AJANTPHARM,AJANTPHARM,AJANTPHARM,EQ,Annual General Meeting,ANNUAL GENERAL MEETING,AGM,ADMIN_ONLY,NO_PRICE_OR_TOTAL_RETURN_ADJUSTMENT,EQ_SERIES,False,False,False,False,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1478.15,Ajanta Pharma,Ajanta Pharma Limited,2,2016-06-28,2016-07-05,,
CA0017,17,2016-06-27,,PFIZER,PFIZER,PFIZER,EQ,Dividend - Rs.15/- Per Share,DIVIDEND - RS.15/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,15.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1867.2,Pfizer,Pfizer Limited,10,2016-06-29,2016-07-05,,
CA0018,18,2016-07-08,,ABBOTINDIA,ABBOTINDIA,ABBOTINDIA,EQ,Annual General Meeting/Divided - Rs 35/- Per Share,ANNUAL GENERAL MEETING/DIVIDED - RS 35/- PER SHARE,AGM,ADMIN_ONLY,NO_PRICE_OR_TOTAL_RETURN_ADJUSTMENT,EQ_SERIES,False,False,False,False,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,4732.7,Abbott India,Abbott India Limited,10,2016-07-12,2016-07-18,,
CA0019,19,2016-07-14,2016-07-15,SUNPHARMA,SUNPHARMA,SUNPHARMA,EQ,Buy Back,BUY BACK,BUYBACK,BUYBACK,NO_AUTOMATIC_ADJUSTMENT_REVIEW_TERMS,EQ_SERIES,False,False,False,True,BUYBACK_IS_NOT_AUTOMATIC_TOTAL_RETURN_DISTRIBUTION,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,768.55,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries Limited,1,,,,
CA0020,20,2016-07-15,,GLAXO,GLAXO,GLAXO,EQ,Dividend Rs 50/- Per Share,DIVIDEND RS 50/- PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,50.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,3458.95,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,10,2016-07-19,2016-07-28,,
CA0021,21,2016-07-18,,DRREDDY,DRREDDY,DRREDDY,EQ,Annual General Meeting/ Dividend - Rs 20/- Per Share,ANNUAL GENERAL MEETING/ DIVIDEND - RS 20/- PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,20.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,3567.75,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,1,2016-07-20,2016-07-22,,
CA0022,22,2016-07-20,,APLLTD,APLLTD,APLLTD,EQ,Annual General Meeting/Dividend - Rs 4/- Per Share,ANNUAL GENERAL MEETING/DIVIDEND - RS 4/- PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,4.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,588.9,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,2,2016-07-22,2016-07-29,,
CA0023,23,2016-07-21,,STAR,STAR,STAR,EQ,Annual General Meeting/ Dividend - Rs 4/- Per Share,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4/- PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,4.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,1159.45,Strides Pharma Science,Strides Pharma Science Limited,10,2016-07-23,2016-07-29,,
