DATE,STATUS,ROWS,MESSAGE
2016-01-01,SUCCESS,24,
2016-01-04,NO_REPORT,0,Likely NSE holiday
2016-01-05,NO_REPORT,0,Likely NSE holiday
2016-01-06,NO_REPORT,0,Likely NSE holiday
2016-01-07,SUCCESS,24,
2016-01-08,SUCCESS,24,
2016-01-11,SUCCESS,24,
2016-01-12,SUCCESS,24,
2016-01-13,SUCCESS,24,
2016-01-14,NO_REPORT,0,Likely NSE holiday
2016-01-15,SUCCESS,24,
2016-01-18,SUCCESS,24,
2016-01-19,NO_REPORT,0,Likely NSE holiday
2016-01-20,SUCCESS,24,
2016-01-21,SUCCESS,24,
2016-01-22,SUCCESS,24,
2016-01-25,SUCCESS,24,
2016-01-26,NO_REPORT,0,Likely NSE holiday
2016-01-27,NO_REPORT,0,Likely NSE holiday
2016-01-28,SUCCESS,24,
2016-01-29,SUCCESS,24,
2016-02-01,NO_REPORT,0,Likely NSE holiday
2016-02-02,SUCCESS,24,
2016-02-03,SUCCESS,24,
2016-02-04,SUCCESS,24,
2016-02-05,SUCCESS,24,
2016-02-08,SUCCESS,24,
2016-02-09,NO_REPORT,0,Likely NSE holiday
2016-02-10,SUCCESS,24,
2016-02-11,SUCCESS,24,
2016-02-12,SUCCESS,24,
2016-02-15,SUCCESS,24,
2016-02-16,SUCCESS,24,
2016-02-17,SUCCESS,24,
2016-02-18,NO_REPORT,0,Likely NSE holiday
2016-02-19,SUCCESS,24,
2016-02-22,NO_REPORT,0,Likely NSE holiday
2016-02-23,SUCCESS,24,
2016-02-24,SUCCESS,24,
2016-02-25,SUCCESS,24,
2016-02-26,SUCCESS,24,
2016-02-29,NO_REPORT,0,Likely NSE holiday
2016-03-01,SUCCESS,25,
2016-03-02,SUCCESS,24,
2016-03-03,SUCCESS,24,
2016-03-04,SUCCESS,24,
2016-03-07,NO_REPORT,0,Likely NSE holiday
2016-03-08,SUCCESS,24,
2016-03-09,SUCCESS,24,
2016-03-10,SUCCESS,24,
2016-03-11,SUCCESS,24,
2016-03-14,NO_REPORT,0,Likely NSE holiday
2016-03-15,SUCCESS,24,
2016-03-16,SUCCESS,24,
2016-03-17,NO_REPORT,0,Likely NSE holiday
2016-03-18,SUCCESS,24,
2016-03-21,SUCCESS,24,
2016-03-22,SUCCESS,24,
2016-03-23,SUCCESS,24,
2016-03-24,NO_REPORT,0,Likely NSE holiday
2016-03-25,NO_REPORT,0,Likely NSE holiday
2016-03-28,NO_REPORT,0,Likely NSE holiday
2016-03-29,NO_REPORT,0,Likely NSE holiday
2016-03-30,SUCCESS,24,
2016-03-31,NO_REPORT,0,Likely NSE holiday
2016-04-01,SUCCESS,24,
2016-04-04,NO_REPORT,0,Likely NSE holiday
2016-04-05,SUCCESS,24,
2016-04-06,NO_REPORT,0,Likely NSE holiday
2016-04-07,SUCCESS,24,
2016-04-08,NO_REPORT,0,Likely NSE holiday
2016-04-11,SUCCESS,24,
2016-04-12,SUCCESS,24,
2016-04-13,SUCCESS,24,
2016-04-14,NO_REPORT,0,Likely NSE holiday
2016-04-15,NO_REPORT,0,Likely NSE holiday
2016-04-18,SUCCESS,24,
2016-04-19,NO_REPORT,0,Likely NSE holiday
2016-04-20,SUCCESS,24,
2016-04-21,SUCCESS,24,
2016-04-22,SUCCESS,24,
2016-04-25,SUCCESS,24,
2016-04-26,SUCCESS,24,
2016-04-27,SUCCESS,24,
2016-04-28,SUCCESS,24,
2016-04-29,SUCCESS,24,
2016-05-02,SUCCESS,24,
2016-05-03,SUCCESS,24,
2016-05-04,SUCCESS,24,
2016-05-05,SUCCESS,24,
2016-05-06,NO_REPORT,0,Likely NSE holiday
2016-05-09,SUCCESS,24,
2016-05-10,SUCCESS,24,
2016-05-11,SUCCESS,24,
2016-05-12,SUCCESS,24,
2016-05-13,SUCCESS,24,
2016-05-16,SUCCESS,24,
2016-05-17,NO_REPORT,0,Likely NSE holiday
2016-05-18,SUCCESS,24,
2016-05-19,NO_REPORT,0,Likely NSE holiday
2016-05-20,SUCCESS,24,
2016-05-23,SUCCESS,24,
2016-05-24,SUCCESS,24,
2016-05-25,SUCCESS,24,
2016-05-26,SUCCESS,24,
2016-05-27,NO_REPORT,0,Likely NSE holiday
2016-05-30,SUCCESS,24,
2016-05-31,SUCCESS,24,
2016-06-01,SUCCESS,24,
2016-06-02,SUCCESS,24,
2016-06-03,SUCCESS,24,
2016-06-06,SUCCESS,24,
2016-06-07,SUCCESS,24,
2016-06-08,SUCCESS,24,
2016-06-09,SUCCESS,24,
2016-06-10,SUCCESS,24,
2016-06-13,SUCCESS,24,
2016-06-14,SUCCESS,24,
2016-06-15,SUCCESS,24,
2016-06-16,SUCCESS,24,
2016-06-17,SUCCESS,24,
2016-06-20,SUCCESS,24,
2016-06-21,SUCCESS,24,
2016-06-22,SUCCESS,24,
2016-06-23,SUCCESS,24,
2016-06-24,SUCCESS,24,
2016-06-27,SUCCESS,24,
2016-06-28,SUCCESS,24,
2016-06-29,NO_REPORT,0,Likely NSE holiday
2016-06-30,SUCCESS,24,
2016-07-01,SUCCESS,24,
2016-07-04,SUCCESS,24,
2016-07-05,SUCCESS,24,
2016-07-06,NO_REPORT,0,Likely NSE holiday
2016-07-07,SUCCESS,24,
2016-07-08,SUCCESS,24,
2016-07-11,SUCCESS,24,
2016-07-12,SUCCESS,24,
2016-07-13,SUCCESS,25,
2016-07-14,SUCCESS,24,
2016-07-15,SUCCESS,24,
2016-07-18,SUCCESS,24,
2016-07-19,SUCCESS,24,
2016-07-20,SUCCESS,24,
2016-07-21,NO_REPORT,0,Likely NSE holiday
2016-07-22,SUCCESS,24,
2016-07-25,SUCCESS,24,
2016-07-26,SUCCESS,24,
2016-07-27,SUCCESS,24,
2016-07-28,SUCCESS,24,
2016-07-29,SUCCESS,24,
2016-08-01,SUCCESS,24,
2016-08-02,NO_REPORT,0,Likely NSE holiday
2016-08-03,SUCCESS,24,
2016-08-04,SUCCESS,24,
2016-08-05,SUCCESS,24,
2016-08-08,SUCCESS,24,
2016-08-09,SUCCESS,24,
2016-08-10,SUCCESS,24,
2016-08-11,SUCCESS,24,
2016-08-12,SUCCESS,24,
2016-08-15,NO_REPORT,0,Likely NSE holiday
2016-08-16,SUCCESS,24,
2016-08-17,SUCCESS,24,
2016-08-18,SUCCESS,24,
2016-08-19,SUCCESS,24,
2016-08-22,NO_REPORT,0,Likely NSE holiday
2016-08-23,SUCCESS,24,
2016-08-24,SUCCESS,24,
2016-08-25,SUCCESS,24,
2016-08-26,SUCCESS,24,
2016-08-29,SUCCESS,24,
2016-08-30,SUCCESS,24,
2016-08-31,SUCCESS,24,
2016-09-01,SUCCESS,24,
