DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2016-01-01,ABBOTINDIA,Abbott India,EQ,INE358A01014,6028.9,6030.0,5885.0,5895.95,5915.0,6010.75,3258,19393288.0,720,LEGACY
2016-01-01,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,1331.9,1351.0,1328.25,1331.95,1331.0,1331.75,108454,145001613.5,5788,LEGACY
2016-01-01,ALKEM,Alkem Laboratories,EQ,INE540L01014,1495.0,1519.0,1480.0,1503.1,1503.0,1485.25,508347,763831059.3,18465,LEGACY
2016-01-01,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,694.95,699.0,685.1,687.85,686.0,696.05,53975,37405610.85,1773,LEGACY
2016-01-01,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,879.9,886.0,871.5,881.4,878.15,875.95,851682,751169441.4,15121,LEGACY
2016-01-01,BIOCON,Biocon,EQ,INE376G01013,520.95,528.5,515.7,521.2,520.35,518.1,782912,409201341.7,11034,LEGACY
2016-01-01,CADILAHC,Cadila Healthcare,EQ,INE010B01027,325.0,337.9,323.6,332.7,332.3,327.55,7005090,2332714569.45,77849,LEGACY
2016-01-01,CIPLA,Cipla,EQ,INE059A01026,653.2,658.45,648.5,655.35,654.25,649.75,556012,364088638.75,16076,LEGACY
2016-01-01,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,1154.0,1165.0,1145.55,1162.5,1163.0,1154.85,100178,116278197.75,4754,LEGACY
2016-01-01,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,3118.8,3123.0,3090.0,3108.6,3100.0,3108.6,171860,534501590.75,9350,LEGACY
2016-01-01,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,3315.0,3317.15,3288.0,3294.85,3290.15,3314.05,1950,6433109.05,549,LEGACY
