COST_MULTIPLIER,DATE,NAV_START,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NAV_END,DAILY_RETURN,OPEN_PAIRS_EOD,LONG_EXPOSURE,SHORT_EXPOSURE,GROSS_EXPOSURE,NET_EXPOSURE,GROSS_EXPOSURE_TO_NAV,NET_EXPOSURE_TO_NAV,TURNOVER_VALUE,TURNOVER_TO_NAV
0.5,2023-10-09,0.9045396085314594,-0.0015345316867526881,0.0,6.839264043801274e-06,6.839264043801274e-06,0.902998237580663,-0.0017040391998962567,1,0.10751791468106761,0.10535498704541958,0.2128729017264872,0.0021629276356480293,0.2357401076405442,0.0023952733744453396,0.0,0.0
0.5,2023-10-10,0.902998237580663,-0.0009613217910869761,0.0,2.309150400995498e-06,2.309150400995498e-06,0.902034606639175,-0.0010671459825545293,1,0.10624406638082382,0.10504246053626276,0.21128652691708658,0.0012016058445610545,0.23423328258358472,0.0013321061472774643,0.0,0.0
0.5,2023-10-11,0.902034606639175,-0.0007264148294375721,0.0,2.3023005049043895e-06,2.3023005049043895e-06,0.9013058895092325,-0.000807859393175181,1,0.10722504330846691,0.10674985229334343,0.21397489560181032,0.0004751910151234856,0.23740541151719444,0.0005272250194462066,0.0,0.0
0.5,2023-10-12,0.9013058895092325,0.0004896124538106111,0.0,2.339722789991089e-06,2.339722789991089e-06,0.9017931622402532,0.0005406296981882441,1,0.10699757039770909,0.106032766928775,0.21303033732648408,0.0009648034689340862,0.2362297101446963,0.0010698722382606024,0.0,0.0
0.5,2023-10-13,0.9017931622402532,0.0021439803933033354,0.0,2.3240058504936986e-06,2.3240058504936986e-06,0.903934818627706,0.002374886478549554,1,0.10779941240813039,0.10469062854589295,0.21249004095402335,0.003108783862237438,0.23507230452369526,0.003439168176923407,0.0,0.0
0.5,2023-10-16,0.903934818627706,0.00032173777384381227,0.0,6.883767356442277e-06,6.883767356442277e-06,0.9042496726341933,0.0003483149448377798,1,0.10875195522192875,0.10532143358584752,0.21407338880777627,0.003430521636081235,0.2367414612207196,0.0037937770285143627,0.0,0.0
0.5,2023-10-17,0.9042496726341933,-0.0004546559842138941,0.0,2.3084149827035076e-06,2.3084149827035076e-06,0.9037927082349967,-0.0005053520206044215,1,0.10927514291667177,0.10629927726480443,0.2155744201814762,0.002975865651867346,0.23852197325476135,0.0032926418024315216,0.0,0.0
0.5,2023-10-18,0.9037927082349967,-0.0028155240553773032,0.0,2.3298471729272204e-06,2.3298471729272204e-06,0.9009748543324464,-0.00311780995451183,1,0.10901639248068473,0.10885605088419469,0.21787244336487943,0.0001603415964900462,0.2418185616582011,0.0001779645632938858,0.0,0.0
0.5,2023-10-19,0.9009748543324464,0.001017632125533365,0.0,2.38588604677687e-06,2.38588604677687e-06,0.9019901005719331,0.001126830826193137,1,0.10914150258160155,0.10796352885957815,0.2171050314411797,0.0011779737220233982,0.24069558114165326,0.00130597189622865,0.0,0.0
0.5,2023-10-20,0.9019901005719331,-0.0003884813072927819,0.0,2.3663239202099325e-06,2.3663239202099325e-06,0.9015992529407201,-0.0004333169853695251,1,0.10757193949737259,0.10678244708264197,0.21435438658001454,0.0007894924147306276,0.2377490729732318,0.0008756577960280725,0.0,0.0
0.5,2023-10-23,0.9015992529407201,-0.00048055707105913096,0.0,7.0213115889956365e-06,7.0213115889956365e-06,0.901111674558072,-0.0005407927979729221,1,0.1067587238414134,0.1064497884977419,0.2132085123391553,0.00030893534367149034,0.23660609262855037,0.00034283802151714444,0.0,0.0
0.5,2023-10-25,0.901111674558072,0.003286733583038203,0.0,4.666292098531153e-06,4.666292098531153e-06,0.9043937418490117,0.0036422425583924056,1,0.1093149506760544,0.1057192817493447,0.2150342324253991,0.0035956689267097053,0.23776616585798868,0.003975778204035827,0.0,0.0
0.5,2023-10-26,0.9043937418490117,-9.18682600068181e-05,0.0,2.317134942451391e-06,2.317134942451391e-06,0.9042995564540623,-0.00010414202419928298,1,0.10746104645337816,0.10395724578667527,0.21141829224005343,0.0035038006667028887,0.2337923210634609,0.003874601775148475,0.0,0.0
0.5,2023-10-27,0.9042995564540623,0.00223553950320224,0.0,2.2785149761463076e-06,2.2785149761463076e-06,0.9065328174422884,0.002469603100307971,1,0.10922396151175125,0.10348462134184612,0.21270858285359737,0.005739340169905127,0.23463969396467965,0.00633108924406976,0.0,0.0
0.5,2023-10-30,0.9065328174422884,0.001547680222740881,0.0,6.80446825261454e-06,6.80446825261454e-06,0.9080736931967767,0.0016997462472849723,1,0.10977558332033896,0.10248856292769296,0.21226414624803192,0.007287020392646004,0.23375211487602796,0.008024701571292992,0.0,0.0
0.5,2023-10-31,0.9080736931967767,-0.0007725457903339374,0.00010265435785439923,2.246324666908339e-06,0.00010490068252130757,0.9071962467239214,-0.0009662723184572508,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21234289966055456,0.23383884067054514
0.5,2023-11-01,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-02,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-03,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-06,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-07,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-08,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-09,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-10,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-12,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-13,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-15,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-16,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-17,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-20,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-21,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-22,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-23,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-24,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-28,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-29,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-11-30,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-01,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-04,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2023-12-05,0.9071962467239214,0.0,0.0,0.0,0.0,0.9071962467239214,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
