PERIOD,N_TRADES,HIT_RATE,AVERAGE_NET_PNL,MEDIAN_NET_PNL,AVERAGE_NET_RETURN_ON_PAIR_GROSS,MEDIAN_NET_RETURN_ON_PAIR_GROSS,HOLDING_DAYS_MEAN,HOLDING_DAYS_MEDIAN,CONVERGENCE_RATE,STOP_OUT_RATE,FORCED_EXIT_RATE,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NET_PNL
FULL,20,0.5,-0.0051891060925810875,-0.001444954521208736,-0.02108283937076186,-0.006300758230841141,94.65,89.5,0.4,0.0,0.6,-0.08542139035442081,0.008665669573094571,0.009695061924106359,0.01836073149720093,-0.10378212185162175
DEVELOPMENT,11,0.45454545454545453,-0.009508330980786671,-0.0058998748818620585,-0.03904691325506995,-0.02609185697992285,117.9090909090909,134.0,0.2727272727272727,0.0,0.7272727272727273,-0.09323159520146383,0.004715174033225362,0.006644871553964199,0.01136004558718956,-0.10459164078865339
OOS,9,0.5555555555555556,8.994654855907228e-05,0.008827660427911752,0.00087325093228136,0.039016505053535266,66.22222222222223,52.0,0.5555555555555556,0.0,0.4444444444444444,0.007810204847043017,0.00395049553986921,0.00305019037014216,0.0070006859100113705,0.0008095189370316506
