PAIR_ID,N_TRADES,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NET_PNL
ABBOTINDIA__DRREDDY,2,0.021574136856791708,0.0008849210170967286,0.00032619978871048803,0.0012111208058072167,0.020363016050984492
ALKEM__IPCALAB,2,0.011114779224523783,0.0008438914016490108,0.0007280621465404933,0.001571953548189504,0.009542825676334278
AUROPHARMA__LUPIN,2,0.007870406106651856,0.0008919528407394927,0.0007638771384275685,0.0016558299791670612,0.006214576127484795
BIOCON__DRREDDY,1,0.006897728292710484,0.0004170444566777785,0.0004957499772165542,0.0009127944338943327,0.0059849338588161514
LUPIN__SUNPHARMA,2,0.002999028623401066,0.0008521784327586724,0.00019511031437717172,0.001047288747135844,0.0019517398762652228
CIPLA__TORNTPHARM,3,0.0027440850368096147,0.00130856879102103,0.0015919810766219275,0.0029005498676429576,-0.00015646483083334162
DRREDDY__TORNTPHARM,2,0.0007103261013485518,0.0008664728363043529,0.0005587600410285927,0.0014252328773329457,-0.0007149067759843943
ABBOTINDIA__CIPLA,1,-0.009396139723742425,0.00045549322056090283,0.0009016823150467473,0.0013571755356076502,-0.010753315259350076
CIPLA__DRREDDY,1,-0.012081995626475201,0.0004153688592334801,0.0008889460425141039,0.0013043149017475841,-0.013386310528222785
DRREDDY__SUNPHARMA,2,-0.019116573687632383,0.000836236458816109,0.0012954370723269632,0.002131673531143072,-0.021248247218775454
DRREDDY__ZYDUS,1,-0.04796249870537823,0.0004524507636628535,0.0009534745758842643,0.0014059253395471178,-0.04936842404492534
BIOCON__GLENMARK,1,-0.05077467285342965,0.000441090494574161,0.0009957814354114843,0.0014368719299856453,-0.0522115447834153
