METHOD,FORMATION_DATE,BLOCK_TYPE,N_TRADES,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NET_PNL
SSD,2017-01-31,DEVELOPMENT,1,-0.0479624987053782,0.0004524507636628,0.0009534745758842,0.0014059253395471,-0.0493684240449253
SSD,2019-07-31,DEVELOPMENT,1,-0.0507746728534296,0.0004410904945741,0.0009957814354114,0.0014368719299856,-0.0522115447834153
SSD,2021-01-29,DEVELOPMENT,1,0.0068977282927104,0.0004170444566777,0.0004957499772165,0.0009127944338943,0.0059849338588161
SSD,2021-07-30,DEVELOPMENT,1,-0.0120819956264752,0.0004153688592334,0.0008889460425141,0.0013043149017475,-0.0133863105282227
SSD,2022-01-31,DEVELOPMENT,2,0.0038994172060469994,0.0008572155718593001,0.0015805409435814,0.0024377565154408,0.0014616606906060984
SSD,2022-07-29,DEVELOPMENT,3,0.006080100383713201,0.0012655310509132,0.0011716185383275522,0.0024371495892409,0.0036429507944721
SSD,2023-07-31,DEVELOPMENT,2,0.0007103261013484997,0.0008664728363042,0.0005587600410284,0.0014252328773328,-0.0007149067759844004
SSD,2024-07-31,OOS,2,0.021574136856791597,0.0008849210170966001,0.0003261997887104071,0.0012111208058070999,0.0203630160509843
SSD,2025-01-31,OOS,1,-0.0093961397237424,0.0004554932205609,0.0009016823150467,0.0013571755356076,-0.01075331525935
SSD,2025-07-31,OOS,4,-0.0122381983926581,0.0017181284614719,0.0010584311279571478,0.0027765595894292,-0.015014757982087599
SSD,2026-01-30,OOS,2,0.0078704061066518,0.0008919528407394,0.0007638771384274,0.0016558299791669,0.0062145761274848
ENGLE_GRANGER,2020-01-31,DEVELOPMENT,2,0.005311552371740099,0.0010036067008009002,0.0009362516009049,0.0019398583017058001,0.0033716940700342004
ENGLE_GRANGER,2020-07-31,DEVELOPMENT,6,0.0180977777447758,0.0028494405840061,0.0023023218735559194,0.0051517624575621,0.0129460152872132
ENGLE_GRANGER,2021-01-29,DEVELOPMENT,1,0.0166810522786735,0.0005762497249898,0.0007158891720233,0.0012921388970131,0.0153889133816604
ENGLE_GRANGER,2024-01-31,DEVELOPMENT,1,0.012783829069474,0.000665459316513,0.0004108603813854,0.0010763196978985,0.0117075093715755
