PAIR_ID,N_TRADES,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NET_PNL
LUPIN__SUNPHARMA,4,0.0265923065057291,0.0018742473847290358,0.0008321664875068096,0.0027064138722358456,0.023885892633493257
LUPIN__TORNTPHARM,1,0.016681052278673586,0.0005762497249898347,0.0007158891720233351,0.0012921388970131699,0.015388913381660416
DIVISLAB__GLENMARK,1,0.012783829069474048,0.0006654593165130744,0.0004108603813854344,0.0010763196978985088,0.011707509371575539
DRREDDY__ZYDUS,1,0.01095349958729933,0.0005079284820426127,0.0004519290045458469,0.0009598574865884596,0.009993642100710869
DIVISLAB__DRREDDY,2,0.005311552371740136,0.0010036067008009934,0.0009362516009049349,0.001939858301705928,0.0033716940700342073
DIVISLAB__TORNTPHARM,1,-0.019448028348252648,0.0004672647172347664,0.0010182263815034333,0.0014854910987381997,-0.020933519446990848
