COST_MULTIPLIER,DATE,NAV_START,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NAV_END,DAILY_RETURN,OPEN_PAIRS_EOD,LONG_EXPOSURE,SHORT_EXPOSURE,GROSS_EXPOSURE,NET_EXPOSURE,GROSS_EXPOSURE_TO_NAV,NET_EXPOSURE_TO_NAV,TURNOVER_VALUE,TURNOVER_TO_NAV
0.0,2021-04-15,1.0245364432091877,-0.0014786790637960267,0.0,0.0,0.0,1.0230577641453917,-0.001443266438785007,1,0.15018241739688695,0.10329132521609798,0.25347374261298494,0.046891092180788976,0.2477609295353166,0.04583425670002056,0.0,0.0
0.0,2021-04-16,1.0230577641453917,0.0026204759904719637,0.0,0.0,0.0,1.0256782401358637,0.0025614154765356556,1,0.15337342782500796,0.10386185965374702,0.25723528747875496,0.04951156817126094,0.25079530540170275,0.048272027458340666,0.0,0.0
0.0,2021-04-19,1.0256782401358637,-0.0022298686034570112,0.0,0.0,0.0,1.0234483715324068,-0.002174043005106152,1,0.15200919767867363,0.1047274981108697,0.25673669578954333,0.047281699567803925,0.2508545647545778,0.04619842180901529,0.0,0.0
0.0,2021-04-20,1.0234483715324068,-0.0019674922402586055,0.0,0.0,0.0,1.0214808792921481,-0.001922414745076706,1,0.15251566080166903,0.10720145347412371,0.25971711427579275,0.04531420732754532,0.2542554829374466,0.0443612878578271,0.0,0.0
0.0,2021-04-22,1.0214808792921481,0.0012093897894576492,0.0,0.0,0.0,1.0226902690816058,0.001183957344650155,1,0.15086746000255696,0.10434386288555399,0.25521132288811094,0.04652359711700298,0.2495489891746944,0.045491385342682496,0.0,0.0
0.0,2021-04-23,1.0226902690816058,-0.004144845690676423,0.0,0.0,0.0,1.0185454233909292,-0.00405288464746878,1,0.14824731841249433,0.1058685669861678,0.25411588539866214,0.042378751426326536,0.2494890061482605,0.04160712959196233,0.0,0.0
0.0,2021-04-26,1.0185454233909292,0.00014735336275566364,0.0,0.0,0.0,1.0186927767536849,0.0001446703891370138,1,0.1470470300863204,0.10452092529723818,0.2515679553835586,0.04252610478908221,0.24695174160873287,0.041745760605667696,0.0,0.0
0.0,2021-04-27,1.0186927767536849,0.0003881791522996574,0.0,0.0,0.0,1.0190809559059846,0.0003810561546697677,1,0.1478286812645849,0.10491439732320303,0.25274307858778794,0.04291428394138187,0.2480107955339956,0.04211077019217788,0.0,0.0
0.0,2021-04-28,1.0190809559059846,-0.00015664714969213346,0.0,0.0,0.0,1.0189243087562925,-0.00015371413702147674,1,0.14651129163829646,0.10375365484660673,0.25026494648490316,0.04275763679168973,0.24561681798560547,0.04196350643933509,0.0,0.0
0.0,2021-04-29,1.0189243087562925,-0.00018209470747437538,0.0,0.0,0.0,1.018742214048818,-0.00017871269328795236,1,0.1464029729356905,0.10382743085147512,0.2502304037871656,0.042575542084215365,0.2456268134729269,0.041792262553846764,0.0,0.0
0.0,2021-04-30,1.018742214048818,-0.0008619063703730356,0.0,0.0,0.0,1.017880307678445,-0.0008460495290044667,1,0.14691821865619445,0.10520458294235213,0.2521228015985466,0.04171363571384232,0.24769395742961345,0.04098088488319584,0.0,0.0
0.0,2021-05-03,1.017880307678445,0.0006833934242451169,0.0,0.0,0.0,1.0185637011026902,0.0006713887861764523,1,0.14793114490218512,0.10553411576409769,0.25346526066628283,0.04239702913808743,0.24884576231401437,0.04162432756261458,0.0,0.0
0.0,2021-05-04,1.0185637011026902,0.0002741775680536996,0.0,0.0,0.0,1.018837878670744,0.0002691805802197411,1,0.14673963917351976,0.10406843246737864,0.2508080716408984,0.04267120670614112,0.24617073716195392,0.04188223425871576,0.0,0.0
