DATE,YEAR,STATUS,ROWS_ADDED,URL,MESSAGE
2025-01-02,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250102_F_0000.csv.zip,
2025-01-22,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250122_F_0000.csv.zip,
2025-01-24,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250124_F_0000.csv.zip,
2025-01-28,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250128_F_0000.csv.zip,
2025-02-11,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250211_F_0000.csv.zip,
2025-02-12,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250212_F_0000.csv.zip,
2025-02-17,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250217_F_0000.csv.zip,
2025-02-26,2025,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2025-03-04,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250304_F_0000.csv.zip,
2025-03-05,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250305_F_0000.csv.zip,
2025-03-06,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250306_F_0000.csv.zip,
2025-03-14,2025,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2025-03-25,2025,RECOVERED,30,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250325_F_0000.csv.zip,
2025-03-31,2025,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2025-04-03,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250403_F_0000.csv.zip,
2025-04-10,2025,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2025-04-14,2025,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2025-04-16,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250416_F_0000.csv.zip,
2025-04-17,2025,RECOVERED,29,https://nsearchives.nseindia.com/content/cm/BhavCopy_NSE_CM_0_0_0_20250417_F_0000.csv.zip,
2025-04-18,2025,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
