DATE,STATUS,ROWS,MESSAGE
2022-08-31,NO_REPORT,0,Likely NSE holiday
2022-09-01,SUCCESS,26,
2022-09-02,SUCCESS,26,
2022-09-05,SUCCESS,26,
2022-09-06,SUCCESS,26,
2022-09-07,SUCCESS,26,
2022-09-08,SUCCESS,26,
2022-09-09,NO_REPORT,0,Likely NSE holiday
2022-09-12,NO_REPORT,0,Likely NSE holiday
2022-09-13,SUCCESS,26,
2022-09-14,NO_REPORT,0,Likely NSE holiday
2022-09-15,SUCCESS,26,
2022-09-16,SUCCESS,26,
2022-09-19,SUCCESS,26,
2022-09-20,SUCCESS,26,
2022-09-21,SUCCESS,26,
2022-09-22,SUCCESS,26,
2022-09-23,SUCCESS,26,
2022-09-26,NO_REPORT,0,Likely NSE holiday
2022-09-27,SUCCESS,26,
2022-09-28,SUCCESS,26,
2022-09-29,SUCCESS,26,
2022-09-30,SUCCESS,26,
2022-10-03,SUCCESS,44,
2022-10-04,NO_REPORT,0,Likely NSE holiday
2022-10-05,NO_REPORT,0,Likely NSE holiday
2022-10-06,NO_REPORT,0,Likely NSE holiday
2022-10-07,SUCCESS,26,
2022-10-10,NO_REPORT,0,Likely NSE holiday
2022-10-11,SUCCESS,27,
2022-10-12,SUCCESS,26,
2022-10-13,NO_REPORT,0,Likely NSE holiday
2022-10-14,SUCCESS,26,
2022-10-17,SUCCESS,27,
2022-10-18,NO_REPORT,0,Likely NSE holiday
2022-10-19,NO_REPORT,0,Likely NSE holiday
2022-10-20,SUCCESS,27,
2022-10-21,SUCCESS,27,
2022-10-24,SUCCESS,27,
2022-10-25,SUCCESS,28,
2022-10-26,NO_REPORT,0,Likely NSE holiday
2022-10-27,SUCCESS,27,
2022-10-28,SUCCESS,27,
2022-10-31,SUCCESS,27,
2022-11-01,SUCCESS,27,
2022-11-02,SUCCESS,27,
2022-11-03,SUCCESS,37,
2022-11-04,SUCCESS,27,
2022-11-07,SUCCESS,27,
2022-11-08,NO_REPORT,0,Likely NSE holiday
2022-11-09,SUCCESS,27,
2022-11-10,SUCCESS,27,
2022-11-11,SUCCESS,27,
2022-11-14,SUCCESS,37,
2022-11-15,NO_REPORT,0,Likely NSE holiday
2022-11-16,SUCCESS,27,
2022-11-17,SUCCESS,27,
2022-11-18,SUCCESS,27,
2022-11-21,SUCCESS,27,
2022-11-22,NO_REPORT,0,Likely NSE holiday
2022-11-23,NO_REPORT,0,Likely NSE holiday
2022-11-24,SUCCESS,27,
2022-11-25,SUCCESS,27,
2022-11-28,SUCCESS,27,
2022-11-29,SUCCESS,27,
2022-11-30,NO_REPORT,0,Likely NSE holiday
2022-12-01,SUCCESS,27,
2022-12-02,SUCCESS,27,
2022-12-05,SUCCESS,27,
2022-12-06,SUCCESS,27,
2022-12-07,NO_REPORT,0,Likely NSE holiday
2022-12-08,SUCCESS,27,
2022-12-09,SUCCESS,27,
2022-12-12,SUCCESS,27,
2022-12-13,SUCCESS,27,
2022-12-14,SUCCESS,27,
2022-12-15,SUCCESS,27,
2022-12-16,NO_REPORT,0,Likely NSE holiday
2022-12-19,NO_REPORT,0,Likely NSE holiday
2022-12-20,SUCCESS,27,
2022-12-21,SUCCESS,27,
2022-12-22,SUCCESS,28,
2022-12-23,SUCCESS,27,
2022-12-26,SUCCESS,27,
2022-12-27,SUCCESS,27,
2022-12-28,SUCCESS,27,
2022-12-29,SUCCESS,27,
2022-12-30,SUCCESS,27,
