DATE,STATUS,ROWS,MESSAGE
2019-01-01,SUCCESS,25,
2019-01-02,SUCCESS,25,
2019-01-03,SUCCESS,25,
2019-01-04,SUCCESS,25,
2019-01-07,SUCCESS,25,
2019-01-08,SUCCESS,25,
2019-01-09,SUCCESS,25,
2019-01-10,SUCCESS,25,
2019-01-11,SUCCESS,25,
2019-01-14,NO_REPORT,0,Likely NSE holiday
2019-01-15,SUCCESS,25,
2019-01-16,NO_REPORT,0,Likely NSE holiday
2019-01-17,SUCCESS,25,
2019-01-18,SUCCESS,25,
2019-01-21,NO_REPORT,0,Likely NSE holiday
2019-01-22,SUCCESS,25,
2019-01-23,NO_REPORT,0,Likely NSE holiday
2019-01-24,SUCCESS,25,
2019-01-25,SUCCESS,25,
2019-01-28,SUCCESS,25,
2019-01-29,SUCCESS,25,
2019-01-30,SUCCESS,25,
2019-01-31,NO_REPORT,0,Likely NSE holiday
2019-02-01,SUCCESS,25,
2019-02-04,NO_REPORT,0,Likely NSE holiday
2019-02-05,SUCCESS,25,
2019-02-06,SUCCESS,25,
2019-02-07,SUCCESS,25,
2019-02-08,SUCCESS,25,
2019-02-11,SUCCESS,26,
2019-02-12,SUCCESS,25,
2019-02-13,SUCCESS,26,
2019-02-14,SUCCESS,26,
2019-02-15,SUCCESS,25,
2019-02-18,NO_REPORT,0,Likely NSE holiday
2019-02-19,SUCCESS,25,
2019-02-20,SUCCESS,25,
2019-02-21,SUCCESS,25,
2019-02-22,SUCCESS,25,
2019-02-25,SUCCESS,27,
2019-02-26,SUCCESS,26,
2019-02-27,NO_REPORT,0,Likely NSE holiday
2019-02-28,SUCCESS,25,
2019-03-01,SUCCESS,25,
2019-03-04,NO_REPORT,0,Likely NSE holiday
2019-03-05,SUCCESS,26,
2019-03-06,SUCCESS,26,
2019-03-07,SUCCESS,26,
2019-03-08,SUCCESS,25,
2019-03-11,SUCCESS,26,
2019-03-12,SUCCESS,25,
2019-03-13,SUCCESS,25,
2019-03-14,SUCCESS,25,
2019-03-15,SUCCESS,25,
2019-03-18,SUCCESS,25,
2019-03-19,SUCCESS,25,
2019-03-20,SUCCESS,25,
2019-03-21,NO_REPORT,0,Likely NSE holiday
2019-03-22,NO_REPORT,0,Likely NSE holiday
2019-03-25,SUCCESS,27,
2019-03-26,SUCCESS,25,
2019-03-27,SUCCESS,26,
2019-03-28,SUCCESS,26,
2019-03-29,SUCCESS,25,
2019-04-01,NO_REPORT,0,Likely NSE holiday
2019-04-02,SUCCESS,25,
2019-04-03,SUCCESS,25,
2019-04-04,SUCCESS,25,
2019-04-05,SUCCESS,25,
2019-04-08,SUCCESS,26,
2019-04-09,SUCCESS,25,
2019-04-10,SUCCESS,26,
2019-04-11,SUCCESS,26,
2019-04-12,SUCCESS,25,
2019-04-15,SUCCESS,26,
2019-04-16,NO_REPORT,0,Likely NSE holiday
2019-04-17,NO_REPORT,0,Likely NSE holiday
2019-04-18,NO_REPORT,0,Likely NSE holiday
2019-04-19,NO_REPORT,0,Likely NSE holiday
2019-04-22,SUCCESS,25,
2019-04-23,SUCCESS,25,
2019-04-24,SUCCESS,25,
2019-04-25,SUCCESS,25,
2019-04-26,SUCCESS,25,
2019-04-29,NO_REPORT,0,Likely NSE holiday
2019-04-30,SUCCESS,25,
2019-05-01,NO_REPORT,0,Likely NSE holiday
2019-05-02,SUCCESS,25,
2019-05-03,NO_REPORT,0,Likely NSE holiday
2019-05-06,SUCCESS,25,
2019-05-07,SUCCESS,25,
2019-05-08,SUCCESS,25,
2019-05-09,SUCCESS,25,
2019-05-10,SUCCESS,25,
2019-05-13,SUCCESS,25,
2019-05-14,SUCCESS,25,
2019-05-15,SUCCESS,25,
2019-05-16,SUCCESS,25,
2019-05-17,SUCCESS,25,
2019-05-20,SUCCESS,25,
2019-05-21,SUCCESS,25,
2019-05-22,SUCCESS,25,
2019-05-23,SUCCESS,25,
2019-05-24,SUCCESS,25,
2019-05-27,NO_REPORT,0,Likely NSE holiday
2019-05-28,SUCCESS,25,
2019-05-29,SUCCESS,25,
2019-05-30,SUCCESS,25,
2019-05-31,SUCCESS,25,
