DATE,YEAR,STATUS,ROWS_ADDED,URL,MESSAGE
2018-01-01,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/JAN/cm01JAN2018bhav.csv.zip,
2018-01-05,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/JAN/cm05JAN2018bhav.csv.zip,
2018-01-18,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/JAN/cm18JAN2018bhav.csv.zip,
2018-01-26,2018,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2018-01-31,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/JAN/cm31JAN2018bhav.csv.zip,
2018-02-05,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/FEB/cm05FEB2018bhav.csv.zip,
2018-02-13,2018,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2018-02-14,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/FEB/cm14FEB2018bhav.csv.zip,
2018-02-16,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/FEB/cm16FEB2018bhav.csv.zip,
2018-02-27,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/FEB/cm27FEB2018bhav.csv.zip,
2018-03-02,2018,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2018-03-09,2018,RECOVERED,26,https://archives.nseindia.com/content/historical/EQUITIES/2018/MAR/cm09MAR2018bhav.csv.zip,
2018-03-27,2018,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2018/MAR/cm27MAR2018bhav.csv.zip,
2018-03-28,2018,RECOVERED,26,https://archives.nseindia.com/content/historical/EQUITIES/2018/MAR/cm28MAR2018bhav.csv.zip,
2018-03-29,2018,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
