DATE,STATUS,ROWS,MESSAGE
2023-01-02,SUCCESS,27,
2023-01-03,SUCCESS,27,
2023-01-04,SUCCESS,27,
2023-01-05,SUCCESS,27,
2023-01-06,SUCCESS,27,
2023-01-09,SUCCESS,27,
2023-01-10,SUCCESS,27,
2023-01-11,SUCCESS,27,
2023-01-12,SUCCESS,27,
2023-01-13,SUCCESS,27,
2023-01-16,SUCCESS,27,
2023-01-17,SUCCESS,27,
2023-01-18,SUCCESS,27,
2023-01-19,SUCCESS,27,
2023-01-20,SUCCESS,27,
2023-01-23,SUCCESS,27,
2023-01-24,SUCCESS,27,
2023-01-25,NO_REPORT,0,Likely NSE holiday
2023-01-26,NO_REPORT,0,Likely NSE holiday
2023-01-27,SUCCESS,27,
2023-01-30,NO_REPORT,0,Likely NSE holiday
2023-01-31,SUCCESS,27,
2023-02-01,NO_REPORT,0,Likely NSE holiday
2023-02-02,SUCCESS,27,
2023-02-03,SUCCESS,27,
2023-02-06,SUCCESS,27,
2023-02-07,NO_REPORT,0,Likely NSE holiday
2023-02-08,SUCCESS,27,
2023-02-09,SUCCESS,27,
2023-02-10,SUCCESS,27,
2023-02-13,SUCCESS,27,
2023-02-14,NO_REPORT,0,Likely NSE holiday
2023-02-15,SUCCESS,27,
2023-02-16,SUCCESS,27,
2023-02-17,SUCCESS,27,
2023-02-20,SUCCESS,27,
2023-02-21,NO_REPORT,0,Likely NSE holiday
2023-02-22,SUCCESS,27,
2023-02-23,SUCCESS,27,
2023-02-24,SUCCESS,27,
2023-02-27,SUCCESS,27,
2023-02-28,SUCCESS,27,
2023-03-01,SUCCESS,27,
2023-03-02,SUCCESS,27,
2023-03-03,NO_REPORT,0,Likely NSE holiday
2023-03-06,SUCCESS,27,
2023-03-07,NO_REPORT,0,Likely NSE holiday
2023-03-08,SUCCESS,27,
2023-03-09,NO_REPORT,0,Likely NSE holiday
2023-03-10,SUCCESS,27,
2023-03-13,SUCCESS,27,
2023-03-14,NO_REPORT,0,Likely NSE holiday
2023-03-15,SUCCESS,27,
2023-03-16,SUCCESS,27,
2023-03-17,SUCCESS,27,
2023-03-20,SUCCESS,27,
