DATE,YEAR,STATUS,ROWS_ADDED,URL,MESSAGE
2017-01-17,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/JAN/cm17JAN2017bhav.csv.zip,
2017-01-20,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/JAN/cm20JAN2017bhav.csv.zip,
2017-01-26,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2017-01-27,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/JAN/cm27JAN2017bhav.csv.zip,
2017-02-03,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm03FEB2017bhav.csv.zip,
2017-02-07,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm07FEB2017bhav.csv.zip,
2017-02-10,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm10FEB2017bhav.csv.zip,
2017-02-13,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm13FEB2017bhav.csv.zip,
2017-02-17,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm17FEB2017bhav.csv.zip,
2017-02-23,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/FEB/cm23FEB2017bhav.csv.zip,
2017-02-24,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2017-03-13,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2017-03-17,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/MAR/cm17MAR2017bhav.csv.zip,
2017-03-29,2017,RECOVERED,29,https://archives.nseindia.com/content/historical/EQUITIES/2017/MAR/cm29MAR2017bhav.csv.zip,
2017-04-04,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2017-04-14,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2017-04-18,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/APR/cm18APR2017bhav.csv.zip,
2017-05-01,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
2017-05-02,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/MAY/cm02MAY2017bhav.csv.zip,
2017-05-17,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/MAY/cm17MAY2017bhav.csv.zip,
2017-05-23,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/MAY/cm23MAY2017bhav.csv.zip,
2017-06-14,2017,RECOVERED,25,https://archives.nseindia.com/content/historical/EQUITIES/2017/JUN/cm14JUN2017bhav.csv.zip,
2017-06-26,2017,NOT_FOUND_IN_DIRECT_ARCHIVE,0,,No file found on direct NSE archive hosts
