DATE,STATUS,ROWS,MESSAGE
2026-01-01,SUCCESS,28,
2026-01-02,SUCCESS,28,
2026-01-05,SUCCESS,28,
2026-01-06,NO_REPORT,0,Likely NSE holiday
2026-01-07,SUCCESS,28,
2026-01-08,SUCCESS,28,
2026-01-09,SUCCESS,28,
2026-01-12,SUCCESS,28,
2026-01-13,SUCCESS,28,
2026-01-14,SUCCESS,28,
2026-01-15,NO_REPORT,0,Likely NSE holiday
2026-01-16,SUCCESS,28,
2026-01-19,SUCCESS,28,
2026-01-20,SUCCESS,28,
2026-01-21,SUCCESS,28,
2026-01-22,SUCCESS,28,
2026-01-23,SUCCESS,28,
2026-01-26,NO_REPORT,0,Likely NSE holiday
2026-01-27,SUCCESS,28,
2026-01-28,SUCCESS,28,
2026-01-29,SUCCESS,28,
2026-01-30,SUCCESS,28,
2026-02-02,SUCCESS,28,
2026-02-03,SUCCESS,28,
2026-02-04,SUCCESS,28,
2026-02-05,SUCCESS,28,
2026-02-06,NO_REPORT,0,Likely NSE holiday
2026-02-09,SUCCESS,28,
2026-02-10,SUCCESS,28,
2026-02-11,SUCCESS,28,
2026-02-12,SUCCESS,28,
2026-02-13,SUCCESS,28,
2026-02-16,SUCCESS,28,
2026-02-17,SUCCESS,28,
2026-02-18,SUCCESS,28,
2026-02-19,SUCCESS,28,
2026-02-20,SUCCESS,28,
2026-02-23,NO_REPORT,0,Likely NSE holiday
2026-02-24,SUCCESS,28,
2026-02-25,SUCCESS,28,
2026-02-26,SUCCESS,28,
2026-02-27,NO_REPORT,0,Likely NSE holiday
2026-03-02,SUCCESS,28,
2026-03-03,NO_REPORT,0,Likely NSE holiday
2026-03-04,NO_REPORT,0,Likely NSE holiday
2026-03-05,SUCCESS,28,
2026-03-06,SUCCESS,28,
2026-03-09,SUCCESS,28,
2026-03-10,SUCCESS,28,
2026-03-11,SUCCESS,28,
2026-03-12,SUCCESS,28,
2026-03-13,NO_REPORT,0,Likely NSE holiday
2026-03-16,SUCCESS,28,
2026-03-17,SUCCESS,28,
2026-03-18,SUCCESS,28,
