DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2020-01-02,ABBOTINDIA,Abbott India,EQ,INE358A01014,13119.95,13314.9,13119.95,13139.9,13127.0,13140.0,3435,45322428.25,1401,LEGACY
2020-01-02,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,978.45,984.0,972.0,979.95,978.5,978.45,857339,836082581.4,1869,LEGACY
2020-01-02,ALKEM,Alkem Laboratories,EQ,INE540L01014,2100.0,2100.0,2076.2,2085.65,2095.0,2082.85,33488,69871259.4,3081,LEGACY
2020-01-02,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,552.5,563.1,551.6,561.85,562.0,550.7,37424,20957325.0,2027,LEGACY
2020-01-02,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,458.8,465.95,457.5,461.6,463.2,458.1,1320717,609879511.8,22854,LEGACY
2020-01-02,BIOCON,Biocon,EQ,INE376G01013,294.5,298.3,294.1,296.15,296.0,294.55,1572279,466171244.25,26651,LEGACY
2020-01-02,CADILAHC,Cadila Healthcare,EQ,INE010B01027,255.4,257.5,253.55,256.35,256.95,254.25,540659,138316299.65,13384,LEGACY
2020-01-02,CIPLA,Cipla,EQ,INE059A01026,478.85,479.9,472.3,473.5,472.95,475.9,1406381,668921740.6,23644,LEGACY
2020-01-02,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,1820.5,1833.8,1820.5,1825.9,1826.85,1818.85,102841,187816850.85,6957,LEGACY
2020-01-02,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,2883.8,2892.4,2860.2,2864.9,2869.0,2879.4,298831,857769058.75,19727,LEGACY
2020-01-02,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1645.0,1645.65,1615.35,1624.45,1624.9,1631.85,43839,71193859.6,3175,LEGACY
2020-01-02,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,346.1,356.8,344.0,353.9,354.5,345.7,1356814,476322459.85,15672,LEGACY
2020-01-02,GRANULES,Granules India,EQ,INE101D01020,122.05,123.75,121.5,122.0,122.2,121.9,694594,85039339.45,7547,LEGACY
2020-01-02,IPCALAB,IPCA Laboratories,EQ,INE571A01020,1146.9,1146.9,1131.25,1141.2,1141.85,1138.35,72652,82717399.8,5116,LEGACY
2020-01-02,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,431.45,436.45,430.1,433.55,434.0,429.5,47665,20633605.1,2023,LEGACY
2020-01-02,LAURUSLABS,Laurus Labs,EQ,INE947Q01010,370.0,377.7,368.25,373.65,372.0,368.25,62173,23243782.6,1842,LEGACY
2020-01-02,LUPIN,Lupin,EQ,INE326A01037,773.0,780.35,764.2,775.6,776.0,771.15,867603,670902926.55,16310,LEGACY
2020-01-02,NATCOPHARM,Natco Pharma,EQ,INE987B01026,619.0,632.35,617.2,620.85,617.9,618.3,349602,218166779.6,14899,LEGACY
2020-01-02,PEL,Piramal Enterprises,EQ,INE140A01024,1533.0,1545.0,1504.75,1524.9,1522.7,1536.7,927676,1416875567.3,26440,LEGACY
2020-01-02,PFIZER,Pfizer,EQ,INE182A01018,4243.2,4246.75,4213.0,4227.5,4220.55,4230.35,31741,134220461.9,1979,LEGACY
2020-01-02,SANOFI,Sanofi India,EQ,INE058A01010,7014.0,7014.0,6955.0,6989.6,6965.0,7014.4,2241,15668268.35,1024,LEGACY
2020-01-02,STAR,Strides Pharma Science,EQ,INE939A01011,361.6,377.7,361.6,375.5,376.0,361.6,384300,142701287.75,6612,LEGACY
2020-01-02,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,434.0,442.6,432.0,434.95,434.65,434.3,4555670,1989331434.45,55381,LEGACY
2020-01-02,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,1844.05,1872.0,1844.05,1865.65,1869.5,1843.7,86530,160972843.35,4092,LEGACY
2020-01-02,WOCKPHARMA,Wockhardt,EQ,INE049B01025,235.05,239.9,235.0,237.7,237.8,235.0,638193,151885759.55,8715,LEGACY
2020-01-03,ABBOTINDIA,Abbott India,EQ,INE358A01014,13170.0,13274.2,13150.0,13248.25,13190.0,13139.9,6850,90498106.4,1934,LEGACY
2020-01-03,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,980.0,984.85,972.0,977.65,973.05,979.95,23013,22572772.45,1579,LEGACY
2020-01-03,ALKEM,Alkem Laboratories,EQ,INE540L01014,2094.0,2100.0,2079.95,2094.65,2100.0,2085.65,18082,37800212.6,2133,LEGACY
2020-01-03,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,563.9,569.0,558.2,563.65,563.0,561.85,17141,9658953.55,1327,LEGACY
2020-01-03,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,461.0,471.9,457.2,460.3,460.2,461.6,2784762,1292691959.2,38419,LEGACY
2020-01-03,BIOCON,Biocon,EQ,INE376G01013,295.8,304.3,293.7,300.95,301.25,296.15,5147717,1548056520.85,46828,LEGACY
2020-01-03,CADILAHC,Cadila Healthcare,EQ,INE010B01027,257.0,264.0,255.95,260.0,259.9,256.35,1478041,385235309.9,13654,LEGACY
2020-01-03,CIPLA,Cipla,EQ,INE059A01026,475.8,475.8,467.25,469.95,470.65,473.5,2252752,1061592460.6,44368,LEGACY
2020-01-03,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,1817.0,1847.85,1817.0,1834.8,1838.9,1825.9,281177,516360183.6,16587,LEGACY
2020-01-03,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,2864.9,2897.0,2852.05,2883.9,2887.0,2864.9,344678,993028914.95,23970,LEGACY
2020-01-03,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1624.0,1630.0,1602.0,1611.1,1611.0,1624.45,50214,80912071.85,2369,LEGACY
2020-01-03,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,354.0,358.9,347.85,352.1,351.25,353.9,2502770,884608342.2,37456,LEGACY
2020-01-03,GRANULES,Granules India,EQ,INE101D01020,122.3,126.0,122.05,123.6,124.0,122.0,969986,120534801.3,10432,LEGACY
2020-01-03,IPCALAB,IPCA Laboratories,EQ,INE571A01020,1139.9,1151.85,1126.1,1140.75,1139.0,1141.2,91587,104512667.15,5968,LEGACY
2020-01-03,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,434.4,440.0,430.05,438.9,438.2,433.55,63567,27766951.35,3272,LEGACY
2020-01-03,LAURUSLABS,Laurus Labs,EQ,INE947Q01010,370.0,391.45,370.0,379.85,380.0,373.65,157970,60505612.45,4608,LEGACY
2020-01-03,LUPIN,Lupin,EQ,INE326A01037,775.9,786.5,770.0,776.9,775.25,775.6,1110452,865508942.4,21769,LEGACY
2020-01-03,NATCOPHARM,Natco Pharma,EQ,INE987B01026,617.85,617.85,605.0,608.0,606.1,620.85,156810,95727109.55,5904,LEGACY
2020-01-03,PEL,Piramal Enterprises,EQ,INE140A01024,1525.9,1548.45,1512.25,1523.9,1523.95,1524.9,858923,1316200718.35,27951,LEGACY
2020-01-03,PFIZER,Pfizer,EQ,INE182A01018,4237.9,4255.0,4180.0,4198.9,4183.0,4227.5,17391,73280613.05,2265,LEGACY
2020-01-03,SANOFI,Sanofi India,EQ,INE058A01010,7005.8,7005.8,6876.0,6899.55,6900.0,6989.6,4102,28351215.2,1038,LEGACY
2020-01-03,STAR,Strides Pharma Science,EQ,INE939A01011,373.9,388.45,373.65,379.05,377.8,375.5,497552,190040132.75,10285,LEGACY
2020-01-03,SUNPHARMA,Sun Pharmaceutical Industries,EQ,INE044A01036,434.65,450.4,433.05,444.6,443.15,434.95,9457180,4201473863.6,140147,LEGACY
2020-01-03,TORNTPHARM,Torrent Pharmaceuticals,EQ,INE685A01028,1870.0,1919.8,1861.05,1900.1,1895.0,1865.65,504421,956305556.5,18306,LEGACY
2020-01-03,WOCKPHARMA,Wockhardt,EQ,INE049B01025,238.7,248.8,237.0,242.25,242.35,237.7,1878058,458181216.5,23169,LEGACY
2020-01-07,ABBOTINDIA,Abbott India,EQ,INE358A01014,12881.1,13074.95,12657.0,12742.9,12749.85,12780.3,17812,228117434.75,4751,LEGACY
2020-01-07,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,980.3,1010.0,966.2,1006.5,1009.9,975.65,113527,112571289.15,6075,LEGACY
2020-01-07,ALKEM,Alkem Laboratories,EQ,INE540L01014,2095.0,2125.0,2092.15,2117.15,2120.0,2089.55,360489,757723996.05,6029,LEGACY
2020-01-07,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,566.1,574.9,554.1,556.55,555.1,566.7,38931,21821786.4,1981,LEGACY
2020-01-07,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,446.5,454.95,446.5,452.4,452.0,443.5,1731056,781297339.75,23646,LEGACY
2020-01-07,BIOCON,Biocon,EQ,INE376G01013,292.7,294.7,275.2,284.15,283.8,288.2,14775959,4183561320.1,146873,LEGACY
2020-01-07,CADILAHC,Cadila Healthcare,EQ,INE010B01027,256.3,260.0,253.05,257.05,257.1,255.0,606481,155615982.75,11278,LEGACY
2020-01-07,CIPLA,Cipla,EQ,INE059A01026,466.0,470.0,463.65,468.6,468.35,466.75,2365554,1103398181.75,32146,LEGACY
2020-01-07,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,1838.0,1851.75,1832.6,1843.9,1846.85,1838.35,302472,557844973.45,14478,LEGACY
2020-01-07,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,2890.0,2910.0,2871.05,2884.2,2880.0,2878.85,357635,1035659543.05,21604,LEGACY
2020-01-07,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,1609.95,1655.0,1605.0,1628.85,1624.0,1592.1,103521,169115199.6,6473,LEGACY
2020-01-07,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,343.9,349.6,338.5,343.2,343.3,339.95,1270046,437718296.2,20359,LEGACY
2020-01-07,GRANULES,Granules India,EQ,INE101D01020,123.9,124.9,122.65,123.9,124.9,120.5,565695,69794479.35,7021,LEGACY
2020-01-07,IPCALAB,IPCA Laboratories,EQ,INE571A01020,1157.0,1162.4,1132.05,1139.65,1139.95,1140.45,47982,54952768.9,4340,LEGACY
2020-01-07,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,438.0,439.85,433.3,437.3,437.5,435.9,43266,18898645.4,2101,LEGACY
2020-01-07,LAURUSLABS,Laurus Labs,EQ,INE947Q01010,377.0,389.7,377.0,385.7,384.6,381.0,45897,17725259.6,1423,LEGACY
2020-01-07,LUPIN,Lupin,EQ,INE326A01037,764.0,772.6,752.55,757.55,759.5,762.15,824059,626862853.25,22493,LEGACY
2020-01-07,NATCOPHARM,Natco Pharma,EQ,INE987B01026,610.0,614.0,597.05,600.8,601.0,604.85,123471,74277008.2,5163,LEGACY
