DATE,STATUS,ROWS,MESSAGE
2020-01-01,NO_REPORT,0,Likely NSE holiday
2020-01-02,SUCCESS,25,
2020-01-03,SUCCESS,25,
2020-01-06,NO_REPORT,0,Likely NSE holiday
2020-01-07,SUCCESS,25,
2020-01-08,SUCCESS,25,
2020-01-09,NO_REPORT,0,Likely NSE holiday
2020-01-10,SUCCESS,25,
2020-01-13,SUCCESS,25,
2020-01-14,SUCCESS,25,
2020-01-15,SUCCESS,25,
2020-01-16,SUCCESS,25,
2020-01-17,SUCCESS,25,
2020-01-20,SUCCESS,25,
2020-01-21,SUCCESS,25,
2020-01-22,SUCCESS,25,
2020-01-23,SUCCESS,25,
2020-01-24,SUCCESS,25,
2020-01-27,SUCCESS,25,
2020-01-28,SUCCESS,25,
2020-01-29,SUCCESS,25,
2020-01-30,SUCCESS,25,
2020-01-31,SUCCESS,25,
2020-02-03,SUCCESS,25,
2020-02-04,NO_REPORT,0,Likely NSE holiday
2020-02-05,NO_REPORT,0,Likely NSE holiday
2020-02-06,SUCCESS,25,
2020-02-07,SUCCESS,25,
2020-02-10,SUCCESS,25,
2020-02-11,SUCCESS,25,
2020-02-12,SUCCESS,25,
2020-02-13,SUCCESS,25,
2020-02-14,SUCCESS,25,
2020-02-17,SUCCESS,25,
2020-02-18,SUCCESS,25,
2020-02-19,SUCCESS,25,
2020-02-20,SUCCESS,25,
2020-02-21,NO_REPORT,0,Likely NSE holiday
2020-02-24,SUCCESS,25,
2020-02-25,NO_REPORT,0,Likely NSE holiday
2020-02-26,SUCCESS,25,
2020-02-27,SUCCESS,25,
2020-02-28,SUCCESS,25,
2020-03-02,SUCCESS,25,
2020-03-03,SUCCESS,25,
2020-03-04,SUCCESS,25,
2020-03-05,SUCCESS,25,
2020-03-06,SUCCESS,25,
2020-03-09,SUCCESS,25,
2020-03-10,NO_REPORT,0,Likely NSE holiday
2020-03-11,SUCCESS,25,
2020-03-12,SUCCESS,25,
2020-03-13,NO_REPORT,0,Likely NSE holiday
2020-03-16,SUCCESS,25,
2020-03-17,NO_REPORT,0,Likely NSE holiday
2020-03-18,SUCCESS,25,
2020-03-19,SUCCESS,25,
2020-03-20,SUCCESS,25,
2020-03-23,SUCCESS,25,
2020-03-24,SUCCESS,25,
2020-03-25,SUCCESS,25,
2020-03-26,SUCCESS,25,
2020-03-27,SUCCESS,25,
2020-03-30,SUCCESS,25,
2020-03-31,SUCCESS,26,
2020-04-01,SUCCESS,25,
2020-04-02,NO_REPORT,0,Likely NSE holiday
2020-04-03,SUCCESS,25,
2020-04-06,NO_REPORT,0,Likely NSE holiday
2020-04-07,SUCCESS,25,
2020-04-08,SUCCESS,25,
2020-04-09,SUCCESS,25,
2020-04-10,NO_REPORT,0,Likely NSE holiday
2020-04-13,SUCCESS,25,
2020-04-14,NO_REPORT,0,Likely NSE holiday
2020-04-15,SUCCESS,25,
2020-04-16,NO_REPORT,0,Likely NSE holiday
2020-04-17,NO_REPORT,0,Likely NSE holiday
2020-04-20,SUCCESS,25,
2020-04-21,SUCCESS,25,
2020-04-22,NO_REPORT,0,Likely NSE holiday
2020-04-23,SUCCESS,25,
2020-04-24,SUCCESS,25,
2020-04-27,SUCCESS,25,
2020-04-28,SUCCESS,25,
2020-04-29,NO_REPORT,0,Likely NSE holiday
2020-04-30,SUCCESS,25,
2020-05-01,NO_REPORT,0,Likely NSE holiday
2020-05-04,SUCCESS,25,
2020-05-05,SUCCESS,25,
2020-05-06,SUCCESS,25,
2020-05-07,SUCCESS,25,
2020-05-08,SUCCESS,25,
2020-05-11,SUCCESS,25,
2020-05-12,SUCCESS,25,
2020-05-13,SUCCESS,25,
2020-05-14,SUCCESS,25,
2020-05-15,SUCCESS,25,
2020-05-18,NO_REPORT,0,Likely NSE holiday
2020-05-19,SUCCESS,25,
2020-05-20,SUCCESS,25,
2020-05-21,SUCCESS,25,
2020-05-22,SUCCESS,25,
2020-05-25,NO_REPORT,0,Likely NSE holiday
2020-05-26,SUCCESS,25,
2020-05-27,SUCCESS,25,
2020-05-28,SUCCESS,25,
2020-05-29,SUCCESS,25,
2020-06-01,SUCCESS,25,
2020-06-02,SUCCESS,25,
2020-06-03,SUCCESS,25,
2020-06-04,SUCCESS,25,
2020-06-05,SUCCESS,25,
2020-06-08,SUCCESS,25,
2020-06-09,SUCCESS,25,
2020-06-10,SUCCESS,25,
2020-06-11,SUCCESS,25,
2020-06-12,SUCCESS,25,
2020-06-15,NO_REPORT,0,Likely NSE holiday
2020-06-16,SUCCESS,25,
2020-06-17,SUCCESS,25,
2020-06-18,SUCCESS,25,
2020-06-19,NO_REPORT,0,Likely NSE holiday
2020-06-22,NO_REPORT,0,Likely NSE holiday
2020-06-23,SUCCESS,25,
2020-06-24,SUCCESS,25,
2020-06-25,SUCCESS,25,
2020-06-26,SUCCESS,25,
2020-06-29,SUCCESS,25,
2020-06-30,SUCCESS,25,
2020-07-01,SUCCESS,25,
2020-07-02,NO_REPORT,0,Likely NSE holiday
2020-07-03,SUCCESS,25,
2020-07-06,SUCCESS,25,
2020-07-07,NO_REPORT,0,Likely NSE holiday
2020-07-08,SUCCESS,25,
2020-07-09,SUCCESS,25,
2020-07-10,NO_REPORT,0,Likely NSE holiday
2020-07-13,SUCCESS,25,
2020-07-14,SUCCESS,25,
2020-07-15,SUCCESS,25,
2020-07-16,SUCCESS,25,
2020-07-17,NO_REPORT,0,Likely NSE holiday
2020-07-20,SUCCESS,25,
2020-07-21,NO_REPORT,0,Likely NSE holiday
2020-07-22,SUCCESS,25,
2020-07-23,SUCCESS,25,
2020-07-24,SUCCESS,25,
2020-07-27,SUCCESS,25,
2020-07-28,SUCCESS,25,
2020-07-29,SUCCESS,25,
2020-07-30,SUCCESS,25,
2020-07-31,SUCCESS,25,
2020-08-03,SUCCESS,25,
2020-08-04,SUCCESS,25,
2020-08-05,SUCCESS,25,
2020-08-06,SUCCESS,25,
2020-08-07,SUCCESS,25,
2020-08-10,SUCCESS,25,
2020-08-11,NO_REPORT,0,Likely NSE holiday
2020-08-12,NO_REPORT,0,Likely NSE holiday
2020-08-13,SUCCESS,25,
2020-08-14,SUCCESS,25,
2020-08-17,SUCCESS,25,
2020-08-18,SUCCESS,25,
2020-08-19,SUCCESS,25,
2020-08-20,SUCCESS,25,
2020-08-21,SUCCESS,25,
2020-08-24,SUCCESS,25,
2020-08-25,SUCCESS,25,
2020-08-26,SUCCESS,25,
2020-08-27,SUCCESS,25,
2020-08-28,NO_REPORT,0,Likely NSE holiday
2020-08-31,NO_REPORT,0,Likely NSE holiday
2020-09-01,SUCCESS,25,
2020-09-02,SUCCESS,25,
2020-09-03,SUCCESS,25,
2020-09-04,SUCCESS,25,
2020-09-07,SUCCESS,25,
2020-09-08,SUCCESS,25,
2020-09-09,SUCCESS,25,
2020-09-10,SUCCESS,25,
2020-09-11,SUCCESS,26,
2020-09-14,SUCCESS,25,
2020-09-15,SUCCESS,25,
2020-09-16,NO_REPORT,0,Likely NSE holiday
2020-09-17,SUCCESS,25,
2020-09-18,SUCCESS,25,
2020-09-21,SUCCESS,25,
2020-09-22,SUCCESS,25,
2020-09-23,SUCCESS,25,
2020-09-24,SUCCESS,25,
2020-09-25,SUCCESS,25,
2020-09-28,SUCCESS,25,
2020-09-29,SUCCESS,25,
2020-09-30,SUCCESS,25,
2020-10-01,SUCCESS,25,
2020-10-02,NO_REPORT,0,Likely NSE holiday
2020-10-05,SUCCESS,25,
2020-10-06,SUCCESS,25,
2020-10-07,SUCCESS,25,
2020-10-08,SUCCESS,25,
2020-10-09,SUCCESS,25,
2020-10-12,NO_REPORT,0,Likely NSE holiday
2020-10-13,SUCCESS,25,
2020-10-14,SUCCESS,25,
