DATE,SYMBOL,COMPANY,SERIES,ISIN,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,TOTAL_TRADED_QTY,TOTAL_TRADED_VALUE,TOTAL_TRADES,SOURCE_FORMAT
2017-01-02,ABBOTINDIA,Abbott India,EQ,INE358A01014,4709.6,4722.35,4658.85,4716.0,4720.0,4722.3,730,3433854.7,276,LEGACY
2017-01-02,AJANTPHARM,Ajanta Pharma,EQ,INE031B01049,1783.0,1833.9,1771.2,1823.85,1822.05,1782.8,99737,180834688.75,6472,LEGACY
2017-01-02,ALKEM,Alkem Laboratories,EQ,INE540L01014,1626.0,1639.0,1610.25,1622.25,1612.25,1628.65,9913,16096511.85,1168,LEGACY
2017-01-02,APLLTD,Alembic Pharmaceuticals,EQ,INE901L01018,595.0,613.0,595.0,601.5,600.0,595.1,15725,9466037.3,721,LEGACY
2017-01-02,AUROPHARMA,Aurobindo Pharma,EQ,INE406A01037,673.0,678.8,661.1,675.5,675.3,669.3,1185520,797068757.55,24475,LEGACY
2017-01-02,BIOCON,Biocon,EQ,INE376G01013,946.6,954.3,940.55,951.95,954.0,949.85,238424,226222409.7,5799,LEGACY
2017-01-02,CADILAHC,Cadila Healthcare,EQ,INE010B01027,357.9,360.9,351.55,354.5,355.5,356.65,479218,170099361.2,10521,LEGACY
2017-01-02,CIPLA,Cipla,EQ,INE059A01026,569.75,572.45,563.25,566.0,565.25,568.8,520139,295154695.2,9671,LEGACY
2017-01-02,DIVISLAB,Divi's Laboratories,EQ,INE361B01024,794.8,803.85,783.8,797.85,797.95,783.7,2246725,1788636322.0,53681,LEGACY
2017-01-02,DRREDDY,Dr. Reddy's Laboratories,EQ,INE089A01023,3066.0,3117.0,3066.0,3083.4,3078.5,3060.4,95526,295611635.45,8195,LEGACY
2017-01-02,GLAXO,GlaxoSmithKline Pharmaceuticals,EQ,INE159A01016,2725.0,2732.0,2711.8,2730.5,2725.0,2729.8,2424,6609573.35,522,LEGACY
2017-01-02,GLENMARK,Glenmark Pharmaceuticals,EQ,INE935A01035,894.0,896.45,881.2,884.0,884.2,888.45,333626,295523407.75,8748,LEGACY
2017-01-02,GRANULES,Granules India,EQ,INE101D01020,108.2,109.4,103.55,108.2,108.65,108.05,797197,85503556.6,5285,LEGACY
2017-01-02,IPCALAB,IPCA Laboratories,EQ,INE571A01020,535.0,539.7,526.6,529.55,527.5,533.05,39210,20843719.4,1820,LEGACY
2017-01-02,JBCHEPHARM,JB Chemicals & Pharmaceuticals,EQ,INE572A01028,351.95,352.0,348.0,351.0,351.0,351.3,6427,2250300.4,302,LEGACY
2017-01-02,LAURUSLABS,Laurus Labs,EQ,INE947Q01010,482.0,487.9,475.95,486.4,486.05,480.85,180715,87369727.2,5447,LEGACY
2017-01-02,LUPIN,Lupin,EQ,INE326A01037,1488.0,1510.0,1476.2,1505.75,1507.0,1486.95,432507,648791431.65,16694,LEGACY
2017-01-02,NATCOPHARM,Natco Pharma,EQ,INE987B01026,584.0,590.0,582.05,584.6,584.4,579.65,127560,74653756.65,3908,LEGACY
2017-01-02,PEL,Piramal Enterprises,EQ,INE140A01024,1624.95,1632.05,1586.0,1594.3,1591.3,1624.85,36380,58263938.5,3920,LEGACY
2017-01-02,PFIZER,Pfizer,EQ,INE182A01018,1850.0,1860.4,1818.3,1828.2,1825.0,1823.9,5080,9293338.05,799,LEGACY
2017-01-02,SANOFI,Sanofi India,EQ,INE058A01010,4342.45,4342.45,4269.05,4295.6,4300.0,4300.45,781,3359031.65,432,LEGACY
