DATE,STATUS,ROWS,MESSAGE
2017-01-02,SUCCESS,25,
2017-01-03,SUCCESS,25,
2017-01-04,SUCCESS,25,
2017-01-05,SUCCESS,25,
2017-01-06,SUCCESS,25,
2017-01-09,SUCCESS,25,
2017-01-10,SUCCESS,25,
2017-01-11,SUCCESS,25,
2017-01-12,SUCCESS,25,
2017-01-13,SUCCESS,25,
2017-01-16,SUCCESS,25,
2017-01-17,NO_REPORT,0,Likely NSE holiday
2017-01-18,SUCCESS,25,
2017-01-19,SUCCESS,25,
2017-01-20,NO_REPORT,0,Likely NSE holiday
2017-01-23,SUCCESS,25,
2017-01-24,SUCCESS,25,
2017-01-25,SUCCESS,25,
2017-01-26,NO_REPORT,0,Likely NSE holiday
2017-01-27,NO_REPORT,0,Likely NSE holiday
2017-01-30,SUCCESS,25,
2017-01-31,SUCCESS,25,
2017-02-01,SUCCESS,25,
2017-02-02,SUCCESS,25,
2017-02-03,NO_REPORT,0,Likely NSE holiday
2017-02-06,SUCCESS,25,
2017-02-07,NO_REPORT,0,Likely NSE holiday
2017-02-08,SUCCESS,25,
2017-02-09,SUCCESS,25,
2017-02-10,NO_REPORT,0,Likely NSE holiday
2017-02-13,NO_REPORT,0,Likely NSE holiday
2017-02-14,SUCCESS,25,
2017-02-15,SUCCESS,25,
2017-02-16,SUCCESS,25,
2017-02-17,NO_REPORT,0,Likely NSE holiday
2017-02-20,SUCCESS,25,
2017-02-21,SUCCESS,25,
2017-02-22,SUCCESS,25,
2017-02-23,NO_REPORT,0,Likely NSE holiday
2017-02-24,NO_REPORT,0,Likely NSE holiday
2017-02-27,SUCCESS,25,
2017-02-28,SUCCESS,25,
2017-03-01,SUCCESS,25,
2017-03-02,SUCCESS,25,
2017-03-03,SUCCESS,26,
2017-03-06,SUCCESS,25,
2017-03-07,SUCCESS,25,
2017-03-08,SUCCESS,25,
2017-03-09,SUCCESS,25,
2017-03-10,SUCCESS,25,
2017-03-13,NO_REPORT,0,Likely NSE holiday
2017-03-14,SUCCESS,25,
2017-03-15,SUCCESS,25,
2017-03-16,SUCCESS,25,
2017-03-17,NO_REPORT,0,Likely NSE holiday
2017-03-20,SUCCESS,25,
2017-03-21,SUCCESS,26,
2017-03-22,SUCCESS,25,
2017-03-23,SUCCESS,26,
2017-03-24,SUCCESS,25,
